ccaa,year,sexo,tasa_bruta_eso,tasa_bruta_bach,tasabrutaFP_basica,tasabrutaFP_Media,tasabrutaFP_superior,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general,PIB_per_capita
Andalucia,2014,hombre,69.7,45.7,5.1375,22.0,20.6,2.625,14.95,21.125,8.825,33.65,6.95,11.875,16600.0
Andalucia,2014,mujer,81.8,60.0,5.1375,22.8,24.8,4.85,14.275,22.4,10.875,28.675,7.5,11.35,16600.0
Andalucia,2015,hombre,71.9,49.2,4.6,22.6,22.3,2.225,14.125,21.675,9.0,33.65,6.975,12.4,17458.0
Andalucia,2015,mujer,83.6,63.3,1.7,23.6,27.6,4.775,13.674999999999999,23.175,10.8,28.225,7.625,11.775,17458.0
Andalucia,2016,hombre,68.3,47.0,5.4,22.5,21.5,1.925,13.35,22.325,8.7,34.25,7.075,12.375,17865.0
Andalucia,2016,mujer,80.3,62.5,2.0,22.9,26.5,4.4,13.075,23.975,10.1,29.025,8.0,11.425,17865.0
Andalucia,2017,hombre,69.8,46.1,5.6,21.9,23.6,2.0,13.4,22.75,8.1,34.45,7.0,12.35,18691.0
Andalucia,2017,mujer,81.6,61.1,2.1,21.0,30.3,4.175,13.025,24.35,9.525,29.65,7.475,11.75,18691.0
Andalucia,2018,hombre,71.8,46.3,5.7,22.2,25.1,1.75,12.875,23.525,8.2,33.4,7.5,12.75,19291.0
Andalucia,2018,mujer,82.4,61.3,2.2,21.7,32.0,3.75,12.775,24.8,9.675,28.925,8.075,12.0,19291.0
Andalucia,2019,hombre,76.7,53.1,5.6,21.2,22.2,1.525,12.325,23.8,7.85,33.75,8.025,12.7,19744.0
Andalucia,2019,mujer,86.8,68.7,2.4,21.8,30.3,3.575,12.675,25.55,9.025,28.8,8.225,12.175,19744.0
Andalucia,2020,hombre,76.8,46.0,6.9,27.0,33.1,1.625,12.275,24.725,6.925,34.175,7.9750000000000005,12.35,17772.0
Andalucia,2020,mujer,85.1,60.9,2.8,27.1,41.5,3.425,12.425,27.125,8.325,28.3,8.225000000000001,12.275,17772.0
Andalucia,2021,hombre,73.6,47.8,5.6,25.2,30.7,1.925,10.9,26.1,6.025,33.975,8.5,12.6,19591.0
Andalucia,2021,mujer,83.0,62.2,2.1,25.5,39.5,2.95,11.45,28.7,7.775,28.7,9.05,11.4,19591.0
Andalucia,2022,hombre,77.1,48.0,6.1,26.4,31.5,1.65,10.725,26.325,5.825,33.725,8.35,13.325,21569.0
Andalucia,2022,mujer,85.5,62.0,2.5,25.8,40.2,3.05,10.85,29.65,7.225,28.224999999999998,8.85,12.15,21569.0
Aragon,2014,hombre,70.7,46.9,5.1375,30.4,31.4,0.65,18.85,26.825,4.75,26.225,8.75,13.95,24557.0
Aragon,2014,mujer,77.8,62.0,5.1375,24.1,25.1,1.05,22.15,28.2,6.25,21.375,8.6,12.424999999999999,24557.0
Aragon,2015,hombre,71.6,51.1,6.4,29.2,30.7,0.925,17.1,27.0,4.875,27.275,8.925,13.975,25185.0
Aragon,2015,mujer,83.1,64.6,2.4,23.4,27.8,0.875,20.3,27.95,5.625,23.85,8.475,12.875,25185.0
Aragon,2016,hombre,70.9,50.8,8.4,28.5,27.6,0.6749999999999999,15.65,27.675,4.025,27.2,9.65,15.15,26243.0
Aragon,2016,mujer,82.4,65.9,3.9,21.4,25.3,0.875,17.725,28.8,5.2,24.325000000000003,9.225000000000001,13.85,26243.0
Aragon,2017,hombre,70.6,53.8,8.0,29.2,30.6,0.625,15.05,27.875,3.175,28.775,10.275,14.275,27357.0
Aragon,2017,mujer,79.5,70.2,3.0,21.8,28.2,1.05,18.1,28.525,4.1,25.15,9.55,13.525,27357.0
Aragon,2018,hombre,71.3,50.5,8.3,25.9,30.0,0.75,14.2,28.675,3.425,29.175,10.325,13.45,28281.0
Aragon,2018,mujer,82.9,67.0,4.0,20.7,25.7,0.7,18.625,29.975,3.775,24.675,9.3,12.95,28281.0
Aragon,2019,hombre,81.0,58.2,7.9,25.2,25.2,0.725,13.1,29.9,2.725,29.15,11.15,13.274999999999999,29043.0
Aragon,2019,mujer,87.8,72.3,3.4,22.1,20.8,0.725,17.925,30.875,3.5,24.125,9.075,13.8,29043.0
Aragon,2020,hombre,75.7,47.2,9.0,30.9,35.8,0.75,13.025,29.975,2.225,27.875,12.175,14.025,27003.0
Aragon,2020,mujer,86.9,63.1,4.1,27.3,31.1,0.7,17.55,31.950000000000003,3.275,22.275,9.375,14.85,27003.0
Aragon,2021,hombre,73.5,49.4,7.2,29.4,31.8,0.65,12.15,30.275,2.025,27.775,12.5,14.6,29144.0
Aragon,2021,mujer,82.8,64.5,2.9,22.1,28.8,0.8999999999999999,14.9,32.65,3.275,23.775,9.85,14.675,29144.0
Aragon,2022,hombre,75.7,47.8,8.3,29.1,34.7,0.85,11.425,31.474999999999998,2.45,29.9,11.025,12.825,32717.0
Aragon,2022,mujer,82.8,62.2,3.8,27.2,32.2,1.075,16.075,33.475,2.7750000000000004,25.275,8.975,12.325,32717.0
Asturias,2014,hombre,82.1,58.5,5.1375,33.7,36.6,0.6749999999999999,21.1,30.45,2.85,25.575,7.225,12.15,19588.0
Asturias,2014,mujer,91.2,71.2,5.1375,35.0,41.5,0.675,24.75,28.75,6.7,19.825,6.875,12.425,19588.0
Asturias,2015,hombre,85.9,59.9,2.3,31.2,34.1,0.775,19.425,30.8,3.225,24.95,7.75,13.05,20497.0
Asturias,2015,mujer,90.2,74.9,1.2,32.9,37.0,0.9,24.225,30.075,6.0,19.200000000000003,6.65,13.025,20497.0
Asturias,2016,hombre,76.7,55.6,2.6,27.4,31.9,0.35,20.25,31.725,2.625,24.175,7.75,13.15,20913.0
Asturias,2016,mujer,84.2,72.0,1.1,31.3,32.8,0.8250000000000001,25.1,30.725,4.5,19.275,6.85,12.725,20913.0
Asturias,2017,hombre,80.2,57.4,3.3,26.3,35.0,0.525,17.55,33.35,2.225,25.7,7.925,12.75,21897.0
Asturias,2017,mujer,86.5,71.2,1.2,27.7,32.9,0.95,23.025,30.950000000000003,3.275,21.375,7.05,13.425,21897.0
Asturias,2018,hombre,80.9,59.3,3.6,24.9,32.5,0.575,15.45,33.15,2.4,26.175,8.15,14.0,22651.0
Asturias,2018,mujer,88.6,71.8,1.1,30.0,34.5,0.8,20.925,31.8,3.85,22.275,7.575,12.775,22651.0
Asturias,2019,hombre,88.6,68.2,4.2,23.8,28.5,0.35,12.675,33.65,1.85,30.3,7.125,14.025,23220.0
Asturias,2019,mujer,91.7,78.6,1.5,27.6,30.5,0.625,17.3,31.45,4.125,24.225,8.725,13.475,23220.0
