ccaa,pct_centro_primaria,pct_centro_secundaria,gasto_reglado_medio,eso_concertado,eso_privado,eso_publico,pct_bach_privado,pct_bach_publico,pct_fpbasica_publico,pct_fpbasica_privado,pct_fpmedio_publico,pct_fpmedio_privado,pct_fpsuperior_publico,pct_fpsuperior_privado,renta_per_capita
Andalucia,14.28571428571428,85.71428571428571,1128,92.5,93.2,85.9,95.3,87.4,74.87005649717514,25.129943502824858,61.13857307628934,38.86142692371066,59.36340953536988,40.63659046463012,11719
Aragon,66.28440366972477,33.71559633027522,9700,90.5,91.1,87.1,96.9,89.1,69.13875598086125,30.861244019138752,64.05543838505574,35.94456161494426,58.5603599100225,41.439640089977495,14810
Asturias,66.87116564417178,33.12883435582822,8950,91.6,92.1,86.6,95.5,85.2,67.56756756756756,32.43243243243243,67.04668838219327,32.95331161780673,74.56106125634022,25.438938743659772,15432
Canarias,70.65637065637065,29.343629343629342,1446,95.3,95.9,85.0,96.3,85.6,93.81327334083241,6.1867266591676,91.19223895838651,8.80776104161348,86.93467336683418,13.06532663316583,12177
Cantabria,66.97674418604652,33.02325581395349,6800,94.4,94.4,91.3,94.7,89.9,59.29203539823009,40.70796460176991,66.8856767411301,33.11432325886991,70.57813394390384,29.421866056096157,14162
Castilla La Mancha,71.05831533477321,28.94168466522678,8610,90.4,91.2,83.9,95.6,87.1,88.21349147516679,11.78650852483321,76.64012135001896,23.359878649981038,85.3840806395551,14.6159193604449,11913
Castilla y Leon,68.0,32.0,1121,92.6,92.6,85.2,95.4,85.1,64.72125435540069,35.278745644599304,66.22641509433961,33.77358490566037,71.65421195652173,28.345788043478258,14124
Cataluña,18.22955738934733,81.77044261065267,1945,93.6,93.8,85.6,96.2,89.4,100.0,0.0,69.13681151523407,30.863188484765917,62.147622121799,37.85237787820099,15830
Ceuta,70.83333333333334,29.166666666666668,3980,93.2,93.2,79.0,95.7,74.7,91.66666666666666,8.33333333333333,100.0,0.0,100.0,0.0,13421
Comunidad Valenciana,17.45602165087956,82.54397834912042,1437,92.3,92.7,82.7,94.6,86.1,88.43848130174136,11.561518698258629,66.68276195074843,33.31723804925157,68.09741583558323,31.90258416441677,12805
Extremadura,71.95767195767195,28.04232804232804,7700,92.3,92.5,88.6,95.2,86.4,99.54268292682929,0.45731707317073,81.50093808630395,18.49906191369606,80.33309709425939,19.66690290574061,11363
Galicia,64.94312306101344,35.05687693898656,1038,92.6,92.9,87.7,96.2,86.9,81.03448275862068,18.96551724137931,76.15687561535937,23.843124384640628,77.23639132089836,22.76360867910163,13147
Islas Baleares,70.15384615384616,29.84615384615384,6920,91.1,92.5,84.4,89.1,83.1,79.74910394265234,20.25089605734767,75.70863546473302,24.291364535266972,80.59461631177179,19.405383688228202,14139
La Rioja,63.73626373626373,36.26373626373626,1435,94.1,94.1,83.9,94.2,89.1,64.21404682274247,35.78595317725752,68.62302483069978,31.37697516930022,76.37130801687763,23.62869198312236,14184
Madrid,61.936437546193645,38.06356245380635,179,91.7,93.3,83.0,95.2,82.4,70.5863607393244,29.413639260675588,55.64199557490544,44.35800442509456,58.545811151583074,41.45418884841692,16817
Melilla,68.18181818181817,31.818181818181817,2870,97.6,97.6,82.1,93.3,87.1,100.0,0.0,100.0,0.0,100.0,0.0,13854
Murcia,73.03370786516854,26.96629213483146,8350,89.9,90.3,81.5,90.9,85.5,82.09483368719037,17.90516631280962,66.90158570349861,33.098414296501375,67.29301233118026,32.70698766881973,11314
Navarra,67.55725190839695,32.44274809160305,1428,94.4,94.3,90.2,95.7,89.5,54.63917525773196,45.36082474226804,78.91602144133412,21.08397855866587,76.90124858115777,23.09875141884222,16599
Pais Vasco,54.119547657512115,45.880452342487885,1544,95.1,95.0,93.5,96.4,93.2,31.18994826311899,68.81005173688101,60.18139783033968,39.81860216966032,53.62637362637363,46.37362637362637,18189
