ccaa,sexo,nivel_formacion,year,pct_poblacion_nivel_formacion
Andalucia,hombre,Analfabetos,2014,2.625
Andalucia,hombre,Educación primaria,2014,14.95
Andalucia,hombre,Educación superior,2014,21.125
Andalucia,hombre,Estudios primarios incompletos,2014,8.825
Andalucia,hombre,Primera etapa de Educación Secundaria y similar,2014,33.65
Andalucia,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2014,6.95
Andalucia,hombre,"Segunda etapa de educación secundaria, con orientación general",2014,11.875
Andalucia,mujer,Analfabetos,2014,4.85
Andalucia,mujer,Educación primaria,2014,14.275
Andalucia,mujer,Educación superior,2014,22.4
Andalucia,mujer,Estudios primarios incompletos,2014,10.875
Andalucia,mujer,Primera etapa de Educación Secundaria y similar,2014,28.675
Andalucia,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2014,7.5
Andalucia,mujer,"Segunda etapa de educación secundaria, con orientación general",2014,11.35
Andalucia,hombre,Analfabetos,2015,2.225
Andalucia,hombre,Educación primaria,2015,14.125
Andalucia,hombre,Educación superior,2015,21.675
Andalucia,hombre,Estudios primarios incompletos,2015,9.0
Andalucia,hombre,Primera etapa de Educación Secundaria y similar,2015,33.65
Andalucia,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2015,6.975
Andalucia,hombre,"Segunda etapa de educación secundaria, con orientación general",2015,12.4
Andalucia,mujer,Analfabetos,2015,4.775
Andalucia,mujer,Educación primaria,2015,13.674999999999999
Andalucia,mujer,Educación superior,2015,23.175
Andalucia,mujer,Estudios primarios incompletos,2015,10.8
Andalucia,mujer,Primera etapa de Educación Secundaria y similar,2015,28.225
Andalucia,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2015,7.625
Andalucia,mujer,"Segunda etapa de educación secundaria, con orientación general",2015,11.775
Andalucia,hombre,Analfabetos,2016,1.925
Andalucia,hombre,Educación primaria,2016,13.35
Andalucia,hombre,Educación superior,2016,22.325
Andalucia,hombre,Estudios primarios incompletos,2016,8.7
Andalucia,hombre,Primera etapa de Educación Secundaria y similar,2016,34.25
Andalucia,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2016,7.075
