ccaa,year,sexo,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general
Andalucia,2014,hombre,2.625,14.95,21.125,8.825,33.65,6.95,11.875
Andalucia,2014,mujer,4.85,14.275,22.4,10.875,28.675,7.5,11.35
Andalucia,2015,hombre,2.225,14.125,21.675,9.0,33.65,6.975,12.4
Andalucia,2015,mujer,4.775,13.674999999999999,23.175,10.8,28.225,7.625,11.775
Andalucia,2016,hombre,1.925,13.35,22.325,8.7,34.25,7.075,12.375
Andalucia,2016,mujer,4.4,13.075,23.975,10.1,29.025,8.0,11.425
Andalucia,2017,hombre,2.0,13.4,22.75,8.1,34.45,7.0,12.35
Andalucia,2017,mujer,4.175,13.025,24.35,9.525,29.65,7.475,11.75
Andalucia,2018,hombre,1.75,12.875,23.525,8.2,33.4,7.5,12.75
Andalucia,2018,mujer,3.75,12.775,24.8,9.675,28.925,8.075,12.0
Andalucia,2019,hombre,1.525,12.325,23.8,7.85,33.75,8.025,12.7
Andalucia,2019,mujer,3.575,12.675,25.55,9.025,28.8,8.225,12.175
Andalucia,2020,hombre,1.625,12.275,24.725,6.925,34.175,7.9750000000000005,12.35
Andalucia,2020,mujer,3.425,12.425,27.125,8.325,28.3,8.225000000000001,12.275
Andalucia,2021,hombre,1.925,10.9,26.1,6.025,33.975,8.5,12.6
Andalucia,2021,mujer,2.95,11.45,28.7,7.775,28.7,9.05,11.4
Andalucia,2022,hombre,1.65,10.725,26.325,5.825,33.725,8.35,13.325
Andalucia,2022,mujer,3.05,10.85,29.65,7.225,28.224999999999998,8.85,12.15
Andalucia,2023,hombre,1.375,10.7,27.3,5.6,33.15,8.45,13.425
Andalucia,2023,mujer,2.825,10.425,30.275,7.45,27.925,8.375,12.7
Andalucia,2024,hombre,1.2,10.4,26.975,5.225,33.65,9.025,13.5
Andalucia,2024,mujer,2.65,10.325,30.375,7.275,28.225,8.475,12.675
Andalucia,2025,hombre,1.25,10.15,27.825,4.949999999999999,33.475,8.55,13.775
Andalucia,2025,mujer,2.5,10.6,31.125,7.1,27.725,8.625,12.3
Aragon,2014,hombre,0.65,18.85,26.825,4.75,26.225,8.75,13.95
Aragon,2014,mujer,1.05,22.15,28.2,6.25,21.375,8.6,12.424999999999999
Aragon,2015,hombre,0.925,17.1,27.0,4.875,27.275,8.925,13.975
Aragon,2015,mujer,0.875,20.3,27.95,5.625,23.85,8.475,12.875
Aragon,2016,hombre,0.6749999999999999,15.65,27.675,4.025,27.2,9.65,15.15
Aragon,2016,mujer,0.875,17.725,28.8,5.2,24.325000000000003,9.225000000000001,13.85
Aragon,2017,hombre,0.625,15.05,27.875,3.175,28.775,10.275,14.275
Aragon,2017,mujer,1.05,18.1,28.525,4.1,25.15,9.55,13.525
Aragon,2018,hombre,0.75,14.2,28.675,3.425,29.175,10.325,13.45
Aragon,2018,mujer,0.7,18.625,29.975,3.775,24.675,9.3,12.95
Aragon,2019,hombre,0.725,13.1,29.9,2.725,29.15,11.15,13.274999999999999
Aragon,2019,mujer,0.725,17.925,30.875,3.5,24.125,9.075,13.8
Aragon,2020,hombre,0.75,13.025,29.975,2.225,27.875,12.175,14.025
Aragon,2020,mujer,0.7,17.55,31.950000000000003,3.275,22.275,9.375,14.85
Aragon,2021,hombre,0.65,12.15,30.275,2.025,27.775,12.5,14.6
Aragon,2021,mujer,0.8999999999999999,14.9,32.65,3.275,23.775,9.85,14.675
Aragon,2022,hombre,0.85,11.425,31.474999999999998,2.45,29.9,11.025,12.825
Aragon,2022,mujer,1.075,16.075,33.475,2.7750000000000004,25.275,8.975,12.325
Aragon,2023,hombre,0.575,10.6,32.775,2.425,30.3,10.950000000000001,12.375
Aragon,2023,mujer,0.925,14.575,33.15,3.125,27.075,9.55,11.625
Aragon,2024,hombre,0.7,9.875,31.049999999999997,2.275,31.674999999999997,11.75,12.675
Aragon,2024,mujer,0.9750000000000001,14.075,32.75,3.125,27.45,9.15,12.425
Aragon,2025,hombre,1.025,10.275,31.075,2.475,30.625,10.575,13.9
Aragon,2025,mujer,1.0,14.225,33.25,2.8,26.4,8.775,13.55
Asturias,2014,hombre,0.6749999999999999,21.1,30.45,2.85,25.575,7.225,12.15
Asturias,2014,mujer,0.675,24.75,28.75,6.7,19.825,6.875,12.425
Asturias,2015,hombre,0.775,19.425,30.8,3.225,24.95,7.75,13.05
Asturias,2015,mujer,0.9,24.225,30.075,6.0,19.200000000000003,6.65,13.025
Asturias,2016,hombre,0.35,20.25,31.725,2.625,24.175,7.75,13.15
