ccaa,eso_concertado,eso_privado,eso_publico
Andalucia,92.5,93.2,85.9
Aragon,90.5,91.1,87.1
Asturias,91.6,92.1,86.6
Canarias,95.3,95.9,85.0
Cantabria,94.4,94.4,91.3
Castilla La Mancha,90.4,91.2,83.9
Castilla y Leon,92.6,92.6,85.2
Cataluña,93.6,93.8,85.6
Ceuta,93.2,93.2,79.0
Comunidad Valenciana,92.3,92.7,82.7
Extremadura,92.3,92.5,88.6
Galicia,92.6,92.9,87.7
Islas Baleares,91.1,92.5,84.4
La Rioja,94.1,94.1,83.9
Madrid,91.7,93.3,83.0
Melilla,97.6,97.6,82.1
Murcia,89.9,90.3,81.5
Navarra,94.4,94.3,90.2
Pais Vasco,95.1,95.0,93.5
