ccaa,year,sexo,tasabrutaFP_Media
Andalucia,1990,hombre,14.9
Andalucia,1990,mujer,17.5
Andalucia,1991,hombre,15.9
Andalucia,1991,mujer,18.4
Andalucia,1992,hombre,16.6
Andalucia,1992,mujer,18.4
Andalucia,1993,hombre,13.6
Andalucia,1993,mujer,16.4
Andalucia,1994,hombre,13.1
Andalucia,1994,mujer,16.0
Andalucia,1995,hombre,12.4
Andalucia,1995,mujer,14.6
Andalucia,1996,hombre,11.8
Andalucia,1996,mujer,12.3
Andalucia,1997,hombre,12.5
Andalucia,1997,mujer,12.5
Andalucia,1998,hombre,15.7
Andalucia,1998,mujer,18.4
Andalucia,1999,hombre,6.6
Andalucia,1999,mujer,9.2
Andalucia,2000,hombre,8.1
Andalucia,2000,mujer,10.6
Andalucia,2001,hombre,11.0
Andalucia,2001,mujer,13.9
Andalucia,2002,hombre,14.8
Andalucia,2002,mujer,21.8
Andalucia,2003,hombre,16.3
Andalucia,2003,mujer,23.8
Andalucia,2004,hombre,15.3
Andalucia,2004,mujer,24.1
Andalucia,2005,hombre,15.5
Andalucia,2005,mujer,23.3
Andalucia,2006,hombre,14.5
Andalucia,2006,mujer,23.9
Andalucia,2007,hombre,15.2
Andalucia,2007,mujer,23.1
Andalucia,2008,hombre,13.8
Andalucia,2008,mujer,19.3
Andalucia,2009,hombre,15.8
Andalucia,2009,mujer,20.3
Andalucia,2010,hombre,15.8
Andalucia,2010,mujer,21.7
Andalucia,2011,hombre,20.3
Andalucia,2011,mujer,23.2
Andalucia,2012,hombre,20.3
Andalucia,2012,mujer,21.8
Andalucia,2013,hombre,22.7
Andalucia,2013,mujer,23.3
Andalucia,2014,hombre,22.0
Andalucia,2014,mujer,22.8
Andalucia,2015,hombre,22.6
Andalucia,2015,mujer,23.6
Andalucia,2016,hombre,22.5
Andalucia,2016,mujer,22.9
Andalucia,2017,hombre,21.9
Andalucia,2017,mujer,21.0
Andalucia,2018,hombre,22.2
Andalucia,2018,mujer,21.7
Andalucia,2019,hombre,21.2
Andalucia,2019,mujer,21.8
Andalucia,2020,hombre,27.0
Andalucia,2020,mujer,27.1
Andalucia,2021,hombre,25.2
Andalucia,2021,mujer,25.5
Andalucia,2022,hombre,26.4
Andalucia,2022,mujer,25.8
Aragon,1990,hombre,23.2
Aragon,1990,mujer,21.3
Aragon,1991,hombre,25.6
Aragon,1991,mujer,20.5
Aragon,1992,hombre,24.6
Aragon,1992,mujer,19.8
Aragon,1993,hombre,24.0
Aragon,1993,mujer,19.7
Aragon,1994,hombre,25.5
Aragon,1994,mujer,19.7
Aragon,1995,hombre,28.5
Aragon,1995,mujer,17.6
