ccaa,year,sexo,tasabrutaFP_superior
Andalucia,1990,hombre,9.0
Andalucia,1990,mujer,10.2
Andalucia,1991,hombre,10.2
Andalucia,1991,mujer,12.6
Andalucia,1992,hombre,10.3
Andalucia,1992,mujer,13.9
Andalucia,1993,hombre,11.4
Andalucia,1993,mujer,15.4
Andalucia,1994,hombre,12.6
Andalucia,1994,mujer,16.6
Andalucia,1995,hombre,12.2
Andalucia,1995,mujer,16.0
Andalucia,1996,hombre,12.6
Andalucia,1996,mujer,16.2
Andalucia,1997,hombre,12.4
Andalucia,1997,mujer,16.0
Andalucia,1998,hombre,12.7
Andalucia,1998,mujer,15.4
Andalucia,1999,hombre,11.0
Andalucia,1999,mujer,14.5
Andalucia,2000,hombre,11.2
Andalucia,2000,mujer,14.4
Andalucia,2001,hombre,11.8
Andalucia,2001,mujer,15.5
Andalucia,2002,hombre,10.2
Andalucia,2002,mujer,13.3
Andalucia,2003,hombre,11.4
Andalucia,2003,mujer,15.9
Andalucia,2004,hombre,11.5
Andalucia,2004,mujer,16.2
Andalucia,2005,hombre,11.5
Andalucia,2005,mujer,16.2
Andalucia,2006,hombre,10.9
Andalucia,2006,mujer,16.1
Andalucia,2007,hombre,11.0
Andalucia,2007,mujer,16.0
Andalucia,2008,hombre,11.8
Andalucia,2008,mujer,16.6
Andalucia,2009,hombre,13.7
Andalucia,2009,mujer,18.1
Andalucia,2010,hombre,14.2
Andalucia,2010,mujer,19.9
Andalucia,2011,hombre,16.4
Andalucia,2011,mujer,21.6
Andalucia,2012,hombre,17.8
Andalucia,2012,mujer,23.2
Andalucia,2013,hombre,20.8
Andalucia,2013,mujer,26.3
Andalucia,2014,hombre,20.6
Andalucia,2014,mujer,24.8
Andalucia,2015,hombre,22.3
Andalucia,2015,mujer,27.6
Andalucia,2016,hombre,21.5
Andalucia,2016,mujer,26.5
Andalucia,2017,hombre,23.6
Andalucia,2017,mujer,30.3
Andalucia,2018,hombre,25.1
Andalucia,2018,mujer,32.0
Andalucia,2019,hombre,22.2
Andalucia,2019,mujer,30.3
Andalucia,2020,hombre,33.1
Andalucia,2020,mujer,41.5
Andalucia,2021,hombre,30.7
Andalucia,2021,mujer,39.5
Andalucia,2022,hombre,31.5
Andalucia,2022,mujer,40.2
Aragon,1990,hombre,14.2
Aragon,1990,mujer,14.5
Aragon,1991,hombre,18.9
Aragon,1991,mujer,18.7
Aragon,1992,hombre,17.0
Aragon,1992,mujer,16.1
Aragon,1993,hombre,17.4
Aragon,1993,mujer,18.0
Aragon,1994,hombre,17.7
Aragon,1994,mujer,18.1
Aragon,1995,hombre,18.7
Aragon,1995,mujer,21.0
Aragon,1996,hombre,18.1
Aragon,1996,mujer,20.5
Aragon,1997,hombre,18.5
Aragon,1997,mujer,20.1
Aragon,1998,hombre,17.5
Aragon,1998,mujer,20.8
Aragon,1999,hombre,19.1
Aragon,1999,mujer,17.8
Aragon,2000,hombre,18.8
Aragon,2000,mujer,18.1
Aragon,2001,hombre,19.8
Aragon,2001,mujer,22.0
Aragon,2002,hombre,17.9
Aragon,2002,mujer,19.8
Aragon,2003,hombre,18.3
Aragon,2003,mujer,20.9
Aragon,2004,hombre,18.3
Aragon,2004,mujer,19.0
Aragon,2005,hombre,18.5
Aragon,2005,mujer,19.0
Aragon,2006,hombre,17.8
Aragon,2006,mujer,19.0
Aragon,2007,hombre,16.5
Aragon,2007,mujer,19.2
Aragon,2008,hombre,16.3
Aragon,2008,mujer,18.5
Aragon,2009,hombre,17.9
Aragon,2009,mujer,18.1
Aragon,2010,hombre,21.0
Aragon,2010,mujer,22.2
Aragon,2011,hombre,25.1
Aragon,2011,mujer,24.4
Aragon,2012,hombre,23.1
Aragon,2012,mujer,22.0
Aragon,2013,hombre,25.4
Aragon,2013,mujer,20.2
Aragon,2014,hombre,31.4
Aragon,2014,mujer,25.1
Aragon,2015,hombre,30.7
Aragon,2015,mujer,27.8
Aragon,2016,hombre,27.6
Aragon,2016,mujer,25.3
Aragon,2017,hombre,30.6
Aragon,2017,mujer,28.2
Aragon,2018,hombre,30.0
Aragon,2018,mujer,25.7
Aragon,2019,hombre,25.2
Aragon,2019,mujer,20.8
Aragon,2020,hombre,35.8
Aragon,2020,mujer,31.1
Aragon,2021,hombre,31.8
Aragon,2021,mujer,28.8
Aragon,2022,hombre,34.7
Aragon,2022,mujer,32.2
Asturias,1990,hombre,15.0
Asturias,1990,mujer,13.5
Asturias,1991,hombre,17.9
Asturias,1991,mujer,16.6
Asturias,1992,hombre,16.7
Asturias,1992,mujer,15.8
Asturias,1993,hombre,18.7
Asturias,1993,mujer,18.3
Asturias,1994,hombre,19.0
Asturias,1994,mujer,17.5
Asturias,1995,hombre,19.9
Asturias,1995,mujer,21.2
Asturias,1996,hombre,19.0
Asturias,1996,mujer,18.9
Asturias,1997,hombre,21.5
Asturias,1997,mujer,22.3
Asturias,1998,hombre,21.8
Asturias,1998,mujer,25.6
Asturias,1999,hombre,21.9
Asturias,1999,mujer,25.5
Asturias,2000,hombre,20.7
Asturias,2000,mujer,21.2
Asturias,2001,hombre,25.3
Asturias,2001,mujer,26.0
Asturias,2002,hombre,23.5
Asturias,2002,mujer,29.7
Asturias,2003,hombre,25.0
Asturias,2003,mujer,29.6
Asturias,2004,hombre,24.0
Asturias,2004,mujer,31.0
Asturias,2005,hombre,21.8
Asturias,2005,mujer,28.7
Asturias,2006,hombre,20.1
Asturias,2006,mujer,24.6
Asturias,2007,hombre,21.7
Asturias,2007,mujer,27.0
Asturias,2008,hombre,19.3
Asturias,2008,mujer,25.8
Asturias,2009,hombre,22.1
Asturias,2009,mujer,27.7
Asturias,2010,hombre,22.5
Asturias,2010,mujer,32.6
Asturias,2011,hombre,26.3
Asturias,2011,mujer,32.9
Asturias,2012,hombre,29.4
Asturias,2012,mujer,38.3
Asturias,2013,hombre,38.5
Asturias,2013,mujer,39.7
Asturias,2014,hombre,36.6
Asturias,2014,mujer,41.5
Asturias,2015,hombre,34.1
Asturias,2015,mujer,37.0
Asturias,2016,hombre,31.9
Asturias,2016,mujer,32.8
Asturias,2017,hombre,35.0
Asturias,2017,mujer,32.9
Asturias,2018,hombre,32.5
Asturias,2018,mujer,34.5
Asturias,2019,hombre,28.5
Asturias,2019,mujer,30.5
Asturias,2020,hombre,44.9
Asturias,2020,mujer,45.2
Asturias,2021,hombre,37.9
Asturias,2021,mujer,35.7
Asturias,2022,hombre,35.4
Asturias,2022,mujer,34.9
Canarias,1990,hombre,10.6
Canarias,1990,mujer,12.1
Canarias,1991,hombre,7.2
Canarias,1991,mujer,10.0
Canarias,1992,hombre,11.4
Canarias,1992,mujer,14.1
Canarias,1993,hombre,12.8
Canarias,1993,mujer,15.6
Canarias,1994,hombre,14.0
Canarias,1994,mujer,19.4
Canarias,1995,hombre,11.9
Canarias,1995,mujer,15.1
Canarias,1996,hombre,24.0
Canarias,1996,mujer,31.5
Canarias,1997,hombre,16.3
Canarias,1997,mujer,21.6
Canarias,1998,hombre,17.3
Canarias,1998,mujer,20.3
Canarias,1999,hombre,15.6
Canarias,1999,mujer,21.8
Canarias,2000,hombre,13.9
Canarias,2000,mujer,17.1
Canarias,2001,hombre,13.0
Canarias,2001,mujer,17.2
Canarias,2002,hombre,8.2
Canarias,2002,mujer,13.0
Canarias,2003,hombre,12.6
Canarias,2003,mujer,18.8
Canarias,2004,hombre,12.4
Canarias,2004,mujer,20.0
Canarias,2005,hombre,11.9
Canarias,2005,mujer,18.7
Canarias,2006,hombre,11.3
Canarias,2006,mujer,17.5
Canarias,2007,hombre,11.4
Canarias,2007,mujer,18.5
Canarias,2008,hombre,11.7
Canarias,2008,mujer,19.3
Canarias,2009,hombre,13.3
Canarias,2009,mujer,22.6
Canarias,2010,hombre,13.4
Canarias,2010,mujer,23.3
Canarias,2011,hombre,17.0
Canarias,2011,mujer,24.4
Canarias,2012,hombre,19.0
Canarias,2012,mujer,27.2
Canarias,2013,hombre,23.9
Canarias,2013,mujer,31.6
Canarias,2014,hombre,27.2
Canarias,2014,mujer,35.7
Canarias,2015,hombre,29.6
Canarias,2015,mujer,35.5
Canarias,2016,hombre,28.5
Canarias,2016,mujer,34.2
Canarias,2017,hombre,28.4
Canarias,2017,mujer,37.3
Canarias,2018,hombre,26.7
Canarias,2018,mujer,34.1
Canarias,2019,hombre,26.9
Canarias,2019,mujer,35.6
Canarias,2020,hombre,34.4
Canarias,2020,mujer,43.3
Canarias,2021,hombre,30.8
Canarias,2021,mujer,40.5
Canarias,2022,hombre,32.3
Canarias,2022,mujer,41.3
Cantabria,1990,hombre,11.2
Cantabria,1990,mujer,15.1
Cantabria,1991,hombre,15.8
Cantabria,1991,mujer,16.0
Cantabria,1992,hombre,17.3
Cantabria,1992,mujer,18.4
Cantabria,1993,hombre,17.5
Cantabria,1993,mujer,23.4
Cantabria,1994,hombre,16.8
Cantabria,1994,mujer,20.8
Cantabria,1995,hombre,16.8
Cantabria,1995,mujer,20.2
Cantabria,1996,hombre,18.5
Cantabria,1996,mujer,22.5
Cantabria,1997,hombre,19.3
Cantabria,1997,mujer,25.8
Cantabria,1998,hombre,18.1
Cantabria,1998,mujer,28.1
Cantabria,1999,hombre,22.1
Cantabria,1999,mujer,28.9
Cantabria,2000,hombre,20.8
Cantabria,2000,mujer,29.4
Cantabria,2001,hombre,17.3
Cantabria,2001,mujer,23.6
Cantabria,2002,hombre,18.2
Cantabria,2002,mujer,26.3
Cantabria,2003,hombre,18.5
Cantabria,2003,mujer,27.2
Cantabria,2004,hombre,17.6
Cantabria,2004,mujer,26.5
Cantabria,2005,hombre,15.9
Cantabria,2005,mujer,25.7
Cantabria,2006,hombre,15.6
Cantabria,2006,mujer,23.5
Cantabria,2007,hombre,16.3
Cantabria,2007,mujer,22.3
Cantabria,2008,hombre,13.5
Cantabria,2008,mujer,20.3
Cantabria,2009,hombre,15.0
Cantabria,2009,mujer,28.7
Cantabria,2010,hombre,19.9
Cantabria,2010,mujer,30.5
Cantabria,2011,hombre,21.5
Cantabria,2011,mujer,30.2
Cantabria,2012,hombre,25.5
Cantabria,2012,mujer,33.3
Cantabria,2013,hombre,32.6
Cantabria,2013,mujer,41.3
Cantabria,2014,hombre,36.8
Cantabria,2014,mujer,39.0
Cantabria,2015,hombre,33.5
Cantabria,2015,mujer,36.2
Cantabria,2016,hombre,31.5
Cantabria,2016,mujer,33.6
Cantabria,2017,hombre,36.1
Cantabria,2017,mujer,38.2
Cantabria,2018,hombre,35.1
Cantabria,2018,mujer,41.7
Cantabria,2019,hombre,29.9
Cantabria,2019,mujer,36.4
Cantabria,2020,hombre,39.6
Cantabria,2020,mujer,43.1
Cantabria,2021,hombre,34.8
Cantabria,2021,mujer,38.9
Cantabria,2022,hombre,35.0
Cantabria,2022,mujer,38.0
Castilla La Mancha,1990,hombre,8.8
Castilla La Mancha,1990,mujer,9.2
Castilla La Mancha,1991,hombre,8.9
Castilla La Mancha,1991,mujer,10.3
Castilla La Mancha,1992,hombre,10.9
Castilla La Mancha,1992,mujer,11.9
Castilla La Mancha,1993,hombre,11.3
Castilla La Mancha,1993,mujer,14.2
Castilla La Mancha,1994,hombre,10.8
Castilla La Mancha,1994,mujer,12.9
Castilla La Mancha,1995,hombre,11.3
Castilla La Mancha,1995,mujer,14.5
Castilla La Mancha,1996,hombre,12.0
Castilla La Mancha,1996,mujer,16.4
Castilla La Mancha,1997,hombre,10.6
Castilla La Mancha,1997,mujer,14.3
Castilla La Mancha,1998,hombre,9.0
Castilla La Mancha,1998,mujer,11.5
Castilla La Mancha,1999,hombre,8.7
Castilla La Mancha,1999,mujer,11.0
Castilla La Mancha,2000,hombre,9.0
Castilla La Mancha,2000,mujer,11.0
Castilla La Mancha,2001,hombre,9.1
Castilla La Mancha,2001,mujer,11.4
Castilla La Mancha,2002,hombre,10.1
Castilla La Mancha,2002,mujer,12.8
Castilla La Mancha,2003,hombre,9.8
Castilla La Mancha,2003,mujer,12.5
Castilla La Mancha,2004,hombre,11.3
Castilla La Mancha,2004,mujer,13.7
Castilla La Mancha,2005,hombre,10.2
Castilla La Mancha,2005,mujer,12.1
Castilla La Mancha,2006,hombre,10.5
Castilla La Mancha,2006,mujer,12.5
Castilla La Mancha,2007,hombre,10.4
Castilla La Mancha,2007,mujer,12.2
Castilla La Mancha,2008,hombre,10.8
Castilla La Mancha,2008,mujer,14.7
Castilla La Mancha,2009,hombre,12.3
Castilla La Mancha,2009,mujer,13.9
Castilla La Mancha,2010,hombre,14.1
Castilla La Mancha,2010,mujer,16.6
Castilla La Mancha,2011,hombre,17.0
Castilla La Mancha,2011,mujer,18.6
Castilla La Mancha,2012,hombre,18.4
Castilla La Mancha,2012,mujer,20.4
Castilla La Mancha,2013,hombre,22.7
Castilla La Mancha,2013,mujer,25.1
Castilla La Mancha,2014,hombre,22.3
Castilla La Mancha,2014,mujer,24.5
Castilla La Mancha,2015,hombre,21.7
Castilla La Mancha,2015,mujer,25.6
Castilla La Mancha,2016,hombre,21.9
Castilla La Mancha,2016,mujer,23.4
Castilla La Mancha,2017,hombre,22.8
