ccaa,year,sexo,tasa_bruta_eso
Andalucia,1999,hombre,65.8
Andalucia,1999,mujer,81.2
Andalucia,2000,hombre,66.2
Andalucia,2000,mujer,79.9
Andalucia,2001,hombre,59.0
Andalucia,2001,mujer,74.9
Andalucia,2002,hombre,58.6
Andalucia,2002,mujer,75.3
Andalucia,2003,hombre,56.7
Andalucia,2003,mujer,77.0
Andalucia,2004,hombre,56.8
Andalucia,2004,mujer,72.1
Andalucia,2005,hombre,57.4
Andalucia,2005,mujer,73.1
Andalucia,2006,hombre,57.6
Andalucia,2006,mujer,72.9
Andalucia,2007,hombre,57.8
Andalucia,2007,mujer,71.2
Andalucia,2008,hombre,64.4
Andalucia,2008,mujer,78.0
Andalucia,2009,hombre,67.8
Andalucia,2009,mujer,79.8
Andalucia,2010,hombre,67.5
Andalucia,2010,mujer,79.4
Andalucia,2011,hombre,67.6
Andalucia,2011,mujer,79.7
Andalucia,2012,hombre,68.7
Andalucia,2012,mujer,80.3
Andalucia,2013,hombre,68.5
Andalucia,2013,mujer,80.7
Andalucia,2014,hombre,69.7
Andalucia,2014,mujer,81.8
Andalucia,2015,hombre,71.9
Andalucia,2015,mujer,83.6
Andalucia,2016,hombre,68.3
Andalucia,2016,mujer,80.3
Andalucia,2017,hombre,69.8
Andalucia,2017,mujer,81.6
Andalucia,2018,hombre,71.8
Andalucia,2018,mujer,82.4
Andalucia,2019,hombre,76.7
Andalucia,2019,mujer,86.8
Andalucia,2020,hombre,76.8
Andalucia,2020,mujer,85.1
Andalucia,2021,hombre,73.6
Andalucia,2021,mujer,83.0
Andalucia,2022,hombre,77.1
Andalucia,2022,mujer,85.5
Aragon,1999,hombre,69.0
Aragon,1999,mujer,82.3
Aragon,2000,hombre,69.1
Aragon,2000,mujer,82.2
Aragon,2001,hombre,68.6
Aragon,2001,mujer,83.1
Aragon,2002,hombre,69.3
Aragon,2002,mujer,83.7
Aragon,2003,hombre,65.2
Aragon,2003,mujer,77.2
Aragon,2004,hombre,64.4
Aragon,2004,mujer,81.3
Aragon,2005,hombre,65.2
Aragon,2005,mujer,78.1
Aragon,2006,hombre,67.2
Aragon,2006,mujer,78.2
Aragon,2007,hombre,64.8
Aragon,2007,mujer,76.2
Aragon,2008,hombre,65.9
Aragon,2008,mujer,79.8
Aragon,2009,hombre,66.9
Aragon,2009,mujer,78.8
Aragon,2010,hombre,70.4
Aragon,2010,mujer,81.2
Aragon,2011,hombre,67.6
Aragon,2011,mujer,79.0
Aragon,2012,hombre,72.8
Aragon,2012,mujer,80.7
Aragon,2013,hombre,71.4
Aragon,2013,mujer,80.2
Aragon,2014,hombre,70.7
Aragon,2014,mujer,77.8
Aragon,2015,hombre,71.6
Aragon,2015,mujer,83.1
Aragon,2016,hombre,70.9
Aragon,2016,mujer,82.4
Aragon,2017,hombre,70.6
Aragon,2017,mujer,79.5
Aragon,2018,hombre,71.3
Aragon,2018,mujer,82.9
Aragon,2019,hombre,81.0
Aragon,2019,mujer,87.8
Aragon,2020,hombre,75.7
Aragon,2020,mujer,86.9
Aragon,2021,hombre,73.5
Aragon,2021,mujer,82.8
Aragon,2022,hombre,75.7
Aragon,2022,mujer,82.8
Asturias,1999,hombre,75.0
Asturias,1999,mujer,91.5
Asturias,2000,hombre,78.0
Asturias,2000,mujer,90.7
Asturias,2001,hombre,77.4
Asturias,2001,mujer,86.9
Asturias,2002,hombre,80.5
Asturias,2002,mujer,91.0
Asturias,2003,hombre,76.2
Asturias,2003,mujer,87.3
Asturias,2004,hombre,83.3
Asturias,2004,mujer,90.6
Asturias,2005,hombre,78.4
Asturias,2005,mujer,91.2
Asturias,2006,hombre,77.0
Asturias,2006,mujer,85.8
Asturias,2007,hombre,81.2
Asturias,2007,mujer,86.1
Asturias,2008,hombre,84.1
Asturias,2008,mujer,93.1
Asturias,2009,hombre,81.9
Asturias,2009,mujer,91.9
Asturias,2010,hombre,81.5
Asturias,2010,mujer,89.5
Asturias,2011,hombre,80.5
Asturias,2011,mujer,88.1
Asturias,2012,hombre,80.4
Asturias,2012,mujer,87.0
Asturias,2013,hombre,83.2
Asturias,2013,mujer,90.4
Asturias,2014,hombre,82.1
Asturias,2014,mujer,91.2
Asturias,2015,hombre,85.9
Asturias,2015,mujer,90.2
Asturias,2016,hombre,76.7
Asturias,2016,mujer,84.2
Asturias,2017,hombre,80.2
Asturias,2017,mujer,86.5
Asturias,2018,hombre,80.9
Asturias,2018,mujer,88.6
Asturias,2019,hombre,88.6
Asturias,2019,mujer,91.7
Asturias,2020,hombre,83.8
Asturias,2020,mujer,91.3
Asturias,2021,hombre,85.5
Asturias,2021,mujer,89.2
Asturias,2022,hombre,83.2
Asturias,2022,mujer,87.9
Canarias,1999,hombre,60.2
Canarias,1999,mujer,75.5
Canarias,2000,hombre,60.1
Canarias,2000,mujer,75.2
Canarias,2001,hombre,61.4
Canarias,2001,mujer,76.8
Canarias,2002,hombre,61.6
Canarias,2002,mujer,79.6
Canarias,2003,hombre,60.1
Canarias,2003,mujer,76.5
Canarias,2004,hombre,58.6
Canarias,2004,mujer,75.5
Canarias,2005,hombre,59.2
Canarias,2005,mujer,76.0
Canarias,2006,hombre,60.8
Canarias,2006,mujer,76.1
Canarias,2007,hombre,63.4
Canarias,2007,mujer,78.5
Canarias,2008,hombre,70.1
Canarias,2008,mujer,83.2
Canarias,2009,hombre,69.4
Canarias,2009,mujer,81.7
Canarias,2010,hombre,64.2
Canarias,2010,mujer,76.2
Canarias,2011,hombre,71.0
Canarias,2011,mujer,77.3
Canarias,2012,hombre,69.8
Canarias,2012,mujer,78.4
Canarias,2013,hombre,70.1
Canarias,2013,mujer,80.8
Canarias,2014,hombre,72.2
Canarias,2014,mujer,82.8
Canarias,2015,hombre,74.5
Canarias,2015,mujer,85.3
Canarias,2016,hombre,68.0
Canarias,2016,mujer,79.0
Canarias,2017,hombre,73.2
Canarias,2017,mujer,84.5
Canarias,2018,hombre,75.5
Canarias,2018,mujer,85.0
Canarias,2019,hombre,81.8
Canarias,2019,mujer,90.2
Canarias,2020,hombre,81.4
Canarias,2020,mujer,89.0
Canarias,2021,hombre,77.8
Canarias,2021,mujer,85.6
Canarias,2022,hombre,78.4
Canarias,2022,mujer,86.0
Cantabria,1999,hombre,68.1
Cantabria,1999,mujer,84.8
Cantabria,2000,hombre,72.6
Cantabria,2000,mujer,89.6
Cantabria,2001,hombre,69.0
Cantabria,2001,mujer,85.2
Cantabria,2002,hombre,73.2
Cantabria,2002,mujer,85.8
Cantabria,2003,hombre,70.3
Cantabria,2003,mujer,83.2
Cantabria,2004,hombre,71.5
Cantabria,2004,mujer,86.3
Cantabria,2005,hombre,69.6
Cantabria,2005,mujer,85.3
Cantabria,2006,hombre,75.4
Cantabria,2006,mujer,86.1
Cantabria,2007,hombre,73.7
Cantabria,2007,mujer,83.0
Cantabria,2008,hombre,80.8
Cantabria,2008,mujer,87.5
Cantabria,2009,hombre,85.6
Cantabria,2009,mujer,92.3
Cantabria,2010,hombre,78.4
Cantabria,2010,mujer,87.5
Cantabria,2011,hombre,77.8
Cantabria,2011,mujer,87.5
Cantabria,2012,hombre,78.5
Cantabria,2012,mujer,87.7
Cantabria,2013,hombre,82.0
Cantabria,2013,mujer,86.3
Cantabria,2014,hombre,77.3
Cantabria,2014,mujer,86.6
Cantabria,2015,hombre,83.4
Cantabria,2015,mujer,89.2
Cantabria,2016,hombre,75.5
Cantabria,2016,mujer,82.7
Cantabria,2017,hombre,75.1
Cantabria,2017,mujer,88.6
Cantabria,2018,hombre,79.4
Cantabria,2018,mujer,88.3
Cantabria,2019,hombre,83.2
Cantabria,2019,mujer,91.4
Cantabria,2020,hombre,85.4
Cantabria,2020,mujer,89.4
Cantabria,2021,hombre,83.5
Cantabria,2021,mujer,88.8
Cantabria,2022,hombre,81.8
Cantabria,2022,mujer,87.5
Castilla La Mancha,1999,hombre,56.1
Castilla La Mancha,1999,mujer,75.1
Castilla La Mancha,2000,hombre,56.9
Castilla La Mancha,2000,mujer,77.0
Castilla La Mancha,2001,hombre,56.9
Castilla La Mancha,2001,mujer,73.4
Castilla La Mancha,2002,hombre,57.5
Castilla La Mancha,2002,mujer,76.4
Castilla La Mancha,2003,hombre,57.5
Castilla La Mancha,2003,mujer,77.0
Castilla La Mancha,2004,hombre,58.5
Castilla La Mancha,2004,mujer,76.5
Castilla La Mancha,2005,hombre,56.2
Castilla La Mancha,2005,mujer,74.4
Castilla La Mancha,2006,hombre,54.5
Castilla La Mancha,2006,mujer,73.9
Castilla La Mancha,2007,hombre,56.2
Castilla La Mancha,2007,mujer,72.5
Castilla La Mancha,2008,hombre,58.8
Castilla La Mancha,2008,mujer,75.0
Castilla La Mancha,2009,hombre,60.2
Castilla La Mancha,2009,mujer,75.7
Castilla La Mancha,2010,hombre,62.3
Castilla La Mancha,2010,mujer,75.1
Castilla La Mancha,2011,hombre,64.9
Castilla La Mancha,2011,mujer,78.0
Castilla La Mancha,2012,hombre,64.9
Castilla La Mancha,2012,mujer,77.8
Castilla La Mancha,2013,hombre,66.3
Castilla La Mancha,2013,mujer,79.6
Castilla La Mancha,2014,hombre,67.2
Castilla La Mancha,2014,mujer,78.7
Castilla La Mancha,2015,hombre,69.5
Castilla La Mancha,2015,mujer,81.7
Castilla La Mancha,2016,hombre,62.2
Castilla La Mancha,2016,mujer,75.7
Castilla La Mancha,2017,hombre,66.9
Castilla La Mancha,2017,mujer,79.2
Castilla La Mancha,2018,hombre,67.4
Castilla La Mancha,2018,mujer,79.0
Castilla La Mancha,2019,hombre,77.9
Castilla La Mancha,2019,mujer,88.1
Castilla La Mancha,2020,hombre,71.9
Castilla La Mancha,2020,mujer,82.4
Castilla La Mancha,2021,hombre,69.9
Castilla La Mancha,2021,mujer,79.3
Castilla La Mancha,2022,hombre,72.5
Castilla La Mancha,2022,mujer,81.4
Castilla y Leon,1999,hombre,68.6
Castilla y Leon,1999,mujer,85.7
Castilla y Leon,2000,hombre,70.1
Castilla y Leon,2000,mujer,85.2
Castilla y Leon,2001,hombre,70.9
Castilla y Leon,2001,mujer,85.7
Castilla y Leon,2002,hombre,69.3
Castilla y Leon,2002,mujer,84.4
Castilla y Leon,2003,hombre,72.8
Castilla y Leon,2003,mujer,88.0
Castilla y Leon,2004,hombre,69.6
Castilla y Leon,2004,mujer,86.2
Castilla y Leon,2005,hombre,70.7
Castilla y Leon,2005,mujer,82.8
Castilla y Leon,2006,hombre,68.1
Castilla y Leon,2006,mujer,82.2
Castilla y Leon,2007,hombre,68.5
