ccaa,year,sexo,tasa_bruta_bach
Andalucia,1990,hombre,27.7
Andalucia,1990,mujer,33.2
Andalucia,1991,hombre,24.3
Andalucia,1991,mujer,30.9
Andalucia,1992,hombre,26.8
Andalucia,1992,mujer,33.3
Andalucia,1993,hombre,27.8
Andalucia,1993,mujer,37.2
Andalucia,1994,hombre,30.6
Andalucia,1994,mujer,39.8
Andalucia,1995,hombre,32.0
Andalucia,1995,mujer,42.0
Andalucia,1996,hombre,36.6
Andalucia,1996,mujer,40.5
Andalucia,1997,hombre,39.6
Andalucia,1997,mujer,43.0
Andalucia,1998,hombre,43.4
Andalucia,1998,mujer,43.4
Andalucia,1999,hombre,40.9
Andalucia,1999,mujer,47.2
Andalucia,2000,hombre,42.4
Andalucia,2000,mujer,50.8
Andalucia,2001,hombre,29.7
Andalucia,2001,mujer,42.4
Andalucia,2002,hombre,33.1
Andalucia,2002,mujer,47.6
Andalucia,2003,hombre,32.8
Andalucia,2003,mujer,50.4
Andalucia,2004,hombre,31.2
Andalucia,2004,mujer,45.3
Andalucia,2005,hombre,31.6
Andalucia,2005,mujer,47.1
Andalucia,2006,hombre,32.0
Andalucia,2006,mujer,47.2
Andalucia,2007,hombre,33.1
Andalucia,2007,mujer,46.9
Andalucia,2008,hombre,34.3
Andalucia,2008,mujer,48.1
Andalucia,2009,hombre,36.1
Andalucia,2009,mujer,49.0
Andalucia,2010,hombre,39.6
Andalucia,2010,mujer,52.8
Andalucia,2011,hombre,42.9
Andalucia,2011,mujer,55.2
Andalucia,2012,hombre,43.7
Andalucia,2012,mujer,56.9
Andalucia,2013,hombre,45.5
Andalucia,2013,mujer,59.4
Andalucia,2014,hombre,45.7
Andalucia,2014,mujer,60.0
Andalucia,2015,hombre,49.2
Andalucia,2015,mujer,63.3
Andalucia,2016,hombre,47.0
Andalucia,2016,mujer,62.5
Andalucia,2017,hombre,46.1
Andalucia,2017,mujer,61.1
Andalucia,2018,hombre,46.3
Andalucia,2018,mujer,61.3
Andalucia,2019,hombre,53.1
Andalucia,2019,mujer,68.7
Andalucia,2020,hombre,46.0
Andalucia,2020,mujer,60.9
Andalucia,2021,hombre,47.8
Andalucia,2021,mujer,62.2
Andalucia,2022,hombre,48.0
Andalucia,2022,mujer,62.0
Aragon,1990,hombre,34.1
Aragon,1990,mujer,45.5
Aragon,1991,hombre,34.9
Aragon,1991,mujer,47.9
