ccaa,year,sexo,tasanetaFP_superior
Andalucia,2016,hombre,19.8
Andalucia,2016,mujer,24.3
Andalucia,2017,hombre,22.0
Andalucia,2017,mujer,27.8
Andalucia,2018,hombre,24.3
Andalucia,2018,mujer,30.2
Andalucia,2019,hombre,21.9
Andalucia,2019,mujer,28.9
Andalucia,2020,hombre,32.3
Andalucia,2020,mujer,39.9
Andalucia,2021,hombre,29.9
Andalucia,2021,mujer,37.8
Aragon,2016,hombre,26.1
Aragon,2016,mujer,23.0
Aragon,2017,hombre,28.7
Aragon,2017,mujer,24.9
Aragon,2018,hombre,28.9
Aragon,2018,mujer,23.5
Aragon,2019,hombre,24.6
Aragon,2019,mujer,19.3
Aragon,2020,hombre,34.9
Aragon,2020,mujer,29.7
Aragon,2021,hombre,30.6
Aragon,2021,mujer,26.8
Asturias,2016,hombre,27.8
Asturias,2016,mujer,27.0
Asturias,2017,hombre,30.4
Asturias,2017,mujer,27.8
Asturias,2018,hombre,30.5
Asturias,2018,mujer,30.1
Asturias,2019,hombre,26.6
Asturias,2019,mujer,27.4
Asturias,2020,hombre,43.4
Asturias,2020,mujer,41.1
Asturias,2021,hombre,35.5
Asturias,2021,mujer,33.0
Canarias,2016,hombre,24.3
Canarias,2016,mujer,28.8
Canarias,2017,hombre,25.5
Canarias,2017,mujer,30.9
Canarias,2018,hombre,25.1
Canarias,2018,mujer,30.3
Canarias,2019,hombre,25.3
Canarias,2019,mujer,30.8
Canarias,2020,hombre,31.9
Canarias,2020,mujer,37.6
Canarias,2021,hombre,28.5
Canarias,2021,mujer,34.9
Cantabria,2016,hombre,29.0
Cantabria,2016,mujer,28.8
Cantabria,2017,hombre,32.5
Cantabria,2017,mujer,33.9
Cantabria,2018,hombre,32.5
Cantabria,2018,mujer,38.7
Cantabria,2019,hombre,29.4
Cantabria,2019,mujer,34.6
Cantabria,2020,hombre,37.7
Cantabria,2020,mujer,40.1
Cantabria,2021,hombre,34.6
Cantabria,2021,mujer,37.2
Castilla La Mancha,2016,hombre,20.2
Castilla La Mancha,2016,mujer,21.7
Castilla La Mancha,2017,hombre,21.4
Castilla La Mancha,2017,mujer,23.4
Castilla La Mancha,2018,hombre,20.3
Castilla La Mancha,2018,mujer,21.8
Castilla La Mancha,2019,hombre,19.4
Castilla La Mancha,2019,mujer,21.3
Castilla La Mancha,2020,hombre,27.3
Castilla La Mancha,2020,mujer,30.5
Castilla La Mancha,2021,hombre,24.1
