ccaa,year,sexo,tasa_neta_eso
Andalucia,2016,hombre,68.1
Andalucia,2016,mujer,80.6
Andalucia,2017,hombre,69.7
Andalucia,2017,mujer,81.6
Andalucia,2018,hombre,71.7
Andalucia,2018,mujer,82.6
Andalucia,2019,hombre,77.0
Andalucia,2019,mujer,82.0
Andalucia,2020,hombre,76.2
Andalucia,2020,mujer,85.0
Andalucia,2021,hombre,74.8
Andalucia,2021,mujer,83.8
Aragon,2016,hombre,71.0
Aragon,2016,mujer,83.3
Aragon,2017,hombre,70.5
Aragon,2017,mujer,79.2
Aragon,2018,hombre,71.4
Aragon,2018,mujer,82.9
Aragon,2019,hombre,80.9
Aragon,2019,mujer,84.6
Aragon,2020,hombre,75.1
Aragon,2020,mujer,85.7
Aragon,2021,hombre,73.1
Aragon,2021,mujer,81.5
Asturias,2016,hombre,76.9
Asturias,2016,mujer,84.1
Asturias,2017,hombre,79.3
Asturias,2017,mujer,86.7
Asturias,2018,hombre,80.2
Asturias,2018,mujer,89.4
Asturias,2019,hombre,89.3
Asturias,2019,mujer,85.1
Asturias,2020,hombre,83.7
Asturias,2020,mujer,92.3
Asturias,2021,hombre,85.6
Asturias,2021,mujer,88.7
Canarias,2016,hombre,67.9
Canarias,2016,mujer,79.1
Canarias,2017,hombre,72.8
Canarias,2017,mujer,84.1
Canarias,2018,hombre,75.4
Canarias,2018,mujer,84.8
Canarias,2019,hombre,81.9
Canarias,2019,mujer,86.5
Canarias,2020,hombre,81.3
Canarias,2020,mujer,88.4
Canarias,2021,hombre,78.0
Canarias,2021,mujer,87.1
Cantabria,2016,hombre,75.1
Cantabria,2016,mujer,82.4
Cantabria,2017,hombre,76.0
Cantabria,2017,mujer,89.1
Cantabria,2018,hombre,80.4
Cantabria,2018,mujer,87.9
Cantabria,2019,hombre,82.1
Cantabria,2019,mujer,89.1
Cantabria,2020,hombre,86.0
Cantabria,2020,mujer,91.2
Cantabria,2021,hombre,84.6
Cantabria,2021,mujer,87.5
Castilla La Mancha,2016,hombre,61.7
Castilla La Mancha,2016,mujer,75.5
Castilla La Mancha,2017,hombre,66.9
Castilla La Mancha,2017,mujer,79.1
Castilla La Mancha,2018,hombre,67.1
Castilla La Mancha,2018,mujer,80.5
Castilla La Mancha,2019,hombre,79.0
