ccaa,year,sexo,tasa_neta_bach
Andalucia,2016,hombre,47.0
Andalucia,2016,mujer,62.5
Andalucia,2017,hombre,46.8
Andalucia,2017,mujer,61.2
Andalucia,2018,hombre,45.8
Andalucia,2018,mujer,60.9
Andalucia,2019,hombre,51.9
Andalucia,2019,mujer,63.3
Andalucia,2020,hombre,45.4
Andalucia,2020,mujer,60.1
Andalucia,2021,hombre,47.3
Andalucia,2021,mujer,61.0
Aragon,2016,hombre,50.7
Aragon,2016,mujer,66.2
Aragon,2017,hombre,54.5
Aragon,2017,mujer,69.4
Aragon,2018,hombre,50.1
Aragon,2018,mujer,67.4
Aragon,2019,hombre,57.5
Aragon,2019,mujer,65.6
Aragon,2020,hombre,47.0
Aragon,2020,mujer,62.8
Aragon,2021,hombre,48.7
Aragon,2021,mujer,65.2
Asturias,2016,hombre,55.9
Asturias,2016,mujer,71.7
Asturias,2017,hombre,58.2
Asturias,2017,mujer,71.8
Asturias,2018,hombre,60.4
Asturias,2018,mujer,69.8
Asturias,2019,hombre,65.6
Asturias,2019,mujer,72.9
Asturias,2020,hombre,57.1
Asturias,2020,mujer,72.1
Asturias,2021,hombre,57.5
Asturias,2021,mujer,66.9
Canarias,2016,hombre,49.6
Canarias,2016,mujer,66.0
Canarias,2017,hombre,50.6
Canarias,2017,mujer,66.9
Canarias,2018,hombre,50.9
Canarias,2018,mujer,65.0
Canarias,2019,hombre,57.8
Canarias,2019,mujer,68.2
Canarias,2020,hombre,54.1
Canarias,2020,mujer,69.1
Canarias,2021,hombre,50.9
Canarias,2021,mujer,67.4
Cantabria,2016,hombre,51.2
Cantabria,2016,mujer,66.9
Cantabria,2017,hombre,55.0
Cantabria,2017,mujer,69.5
Cantabria,2018,hombre,49.1
Cantabria,2018,mujer,61.9
Cantabria,2019,hombre,54.6
Cantabria,2019,mujer,70.0
Cantabria,2020,hombre,51.9
Cantabria,2020,mujer,66.5
Cantabria,2021,hombre,50.2
Cantabria,2021,mujer,69.7
Castilla La Mancha,2016,hombre,46.6
Castilla La Mancha,2016,mujer,62.8
Castilla La Mancha,2017,hombre,47.0
Castilla La Mancha,2017,mujer,63.1
Castilla La Mancha,2018,hombre,44.8
Castilla La Mancha,2018,mujer,61.9
Castilla La Mancha,2019,hombre,50.9
Castilla La Mancha,2019,mujer,63.8
Castilla La Mancha,2020,hombre,42.9
Castilla La Mancha,2020,mujer,60.8
Castilla La Mancha,2021,hombre,47.9
Castilla La Mancha,2021,mujer,62.4
Castilla y Leon,2016,hombre,53.2
Castilla y Leon,2016,mujer,68.5
Castilla y Leon,2017,hombre,53.9
Castilla y Leon,2017,mujer,69.8
Castilla y Leon,2018,hombre,51.7
Castilla y Leon,2018,mujer,66.6
Castilla y Leon,2019,hombre,60.2
