Comunidad Autónoma;2000;;2001;;;;2002;;;;2003;;;;2004;;;;2005;;;;2006;;;;2007;;;;2008;;;;2009;;;;2010;;;;2011;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;2018;;;;2019;;;;2020;;;;2021;;;;2022;;;;2023 (P);;;;2024 (A);;
;Valor;Índice España = 100;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual;;Valor;Índice España = 100;Tasa de Variación Interanual
ANDALUCÍA;11.882;74,4%;12.799;74,4%;7,7%;;13.617;75,2%;6,4%;;14.593;76,7%;7,2%;;15.561;77,5%;6,6%;;16.564;77,9%;6,4%;;17.589;77,6%;6,2%;;18.504;77,7%;5,2%;;18.638;77,0%;0,7%;;17.685;76,4%;-5,1%;;17.567;75,9%;-0,7%;;17.299;75,7%;-1,5%;;16.597;74,9%;-4,1%;;16.381;74,4%;-1,3%;;16.600;74,2%;1,3%;;17.458;74,5%;5,2%;;17.865;73,9%;2,3%;;18.691;74,3%;4,6%;;19.291;74,3%;3,2%;;19.744;74,2%;2,3%;;17.772;74,5%;-10,0%;;19.591;75,1%;10,2%;;21.569;74,9%;10,1%;;23.165;74,8%;7,4%;;24.542;75,2%;5,9%
ARAGÓN;17.016;106,6%;18.231;106,0%;7,1%;;19.492;107,7%;6,9%;;20.570;108,1%;5,5%;;21.676;108,0%;5,4%;;22.932;107,9%;5,8%;;24.484;108,1%;6,8%;;26.080;109,5%;6,5%;;26.519;109,6%;1,7%;;25.150;108,7%;-5,2%;;25.375;109,7%;0,9%;;25.015;109,4%;-1,4%;;24.008;108,3%;-4,0%;;24.232;110,1%;0,9%;;24.557;109,8%;1,3%;;25.185;107,5%;2,6%;;26.243;108,5%;4,2%;;27.357;108,7%;4,2%;;28.281;109,0%;3,4%;;29.043;109,1%;2,7%;;27.003;113,2%;-7,0%;;29.144;111,7%;7,9%;;32.717;113,6%;12,3%;;34.742;112,2%;6,2%;;36.699;112,5%;5,6%
ASTURIAS, PRINCIPADO DE;13.279;83,2%;14.340;83,4%;8,0%;;15.188;83,9%;5,9%;;16.039;84,3%;5,6%;;17.055;85,0%;6,3%;;18.482;86,9%;8,4%;;20.059;88,5%;8,5%;;21.416;89,9%;6,8%;;21.987;90,9%;2,7%;;20.778;89,8%;-5,5%;;20.992;90,7%;1,0%;;20.706;90,6%;-1,4%;;19.867;89,7%;-4,1%;;19.475;88,4%;-2,0%;;19.588;87,5%;0,6%;;20.497;87,5%;4,6%;;20.913;86,5%;2,0%;;21.897;87,0%;4,7%;;22.651;87,3%;3,4%;;23.220;87,2%;2,5%;;21.069;88,3%;-9,3%;;23.446;89,9%;11,3%;;26.544;92,2%;13,2%;;28.130;90,8%;6,0%;;29.660;90,9%;5,4%
BALEARS, ILLES;20.045;125,5%;21.350;124,2%;6,5%;;21.837;120,7%;2,3%;;22.109;116,2%;1,2%;;22.975;114,5%;3,9%;;24.054;113,2%;4,7%;;25.259;111,5%;5,0%;;26.092;109,5%;3,3%;;26.377;109,0%;1,1%;;24.832;107,3%;-5,9%;;24.638;106,5%;-0,8%;;24.324;106,4%;-1,3%;;23.810;107,4%;-2,1%;;23.719;107,7%;-0,4%;;24.454;109,3%;3,1%;;25.732;109,8%;5,2%;;26.922;111,3%;4,6%;;28.001;111,3%;4,0%;;28.906;111,4%;3,2%;;29.458;110,6%;1,9%;;22.611;94,8%;-23,2%;;25.807;98,9%;14,1%;;31.030;107,8%;20,2%;;33.995;109,7%;9,6%;;36.093;110,6%;6,2%
CANARIAS;14.985;93,8%;16.143;93,9%;7,7%;;16.815;92,9%;4,2%;;17.480;91,9%;4,0%;;17.980;89,6%;2,9%;;18.708;88,0%;4,0%;;19.484;86,0%;4,1%;;20.276;85,1%;4,1%;;20.476;84,6%;1,0%;;19.421;83,9%;-5,2%;;19.355;83,7%;-0,3%;;19.099;83,5%;-1,3%;;18.317;82,7%;-4,1%;;18.160;82,5%;-0,9%;;18.268;81,6%;0,6%;;18.881;80,6%;3,4%;;19.450;80,4%;3,0%;;20.296;80,7%;4,3%;;20.853;80,4%;2,7%;;21.159;79,5%;1,5%;;17.239;72,3%;-18,5%;;19.021;72,9%;10,3%;;22.238;77,2%;16,9%;;24.256;78,3%;9,1%;;25.861;79,2%;6,6%
CANTABRIA;14.966;93,7%;16.156;94,0%;8,0%;;17.099;94,5%;5,8%;;17.801;93,6%;4,1%;;18.744;93,4%;5,3%;;19.981;94,0%;6,6%;;21.184;93,5%;6,0%;;22.423;94,1%;5,8%;;22.852;94,5%;1,9%;;21.834;94,4%;-4,5%;;21.850;94,5%;0,1%;;21.435;93,7%;-1,9%;;20.691;93,4%;-3,5%;;20.299;92,2%;-1,9%;;20.747;92,7%;2,2%;;21.329;91,0%;2,8%;;22.072;91,3%;3,5%;;22.922;91,1%;3,9%;;23.818;91,8%;3,9%;;24.515;92,1%;2,9%;;22.279;93,4%;-9,1%;;24.303;93,1%;9,1%;;26.506;92,1%;9,1%;;28.392;91,7%;7,1%;;29.893;91,6%;5,3%
CASTILLA Y LEÓN;14.453;90,5%;15.429;89,7%;6,8%;;16.371;90,5%;6,1%;;17.310;91,0%;5,7%;;18.329;91,3%;5,9%;;19.448;91,5%;6,1%;;20.604;90,9%;5,9%;;21.805;91,5%;5,8%;;22.108;91,4%;1,4%;;21.374;92,4%;-3,3%;;21.487;92,9%;0,5%;;21.378;93,5%;-0,5%;;20.823;94,0%;-2,6%;;20.474;93,0%;-1,7%;;20.694;92,5%;1,1%;;21.600;92,2%;4,4%;;22.369;92,5%;3,6%;;23.076;91,7%;3,2%;;24.216;93,3%;4,9%;;24.849;93,3%;2,6%;;22.934;96,2%;-7,7%;;25.020;95,9%;9,1%;;27.511;95,6%;10,0%;;29.273;94,5%;6,4%;;30.887;94,6%;5,5%
CASTILLA - LA MANCHA;12.804;80,2%;13.834;80,5%;8,0%;;14.677;81,1%;6,1%;;15.581;81,9%;6,2%;;16.368;81,6%;5,1%;;17.443;82,1%;6,6%;;18.543;81,8%;6,3%;;19.578;82,2%;5,6%;;19.891;82,2%;1,6%;;18.959;81,9%;-4,7%;;18.864;81,5%;-0,5%;;18.569;81,2%;-1,6%;;17.941;81,0%;-3,4%;;17.720;80,5%;-1,2%;;17.480;78,1%;-1,4%;;18.499;78,9%;5,8%;;19.149;79,2%;3,5%;;20.043;79,7%;4,7%;;20.811;80,2%;3,8%;;21.264;79,9%;2,2%;;19.675;82,5%;-7,5%;;21.515;82,5%;9,4%;;24.156;83,9%;12,3%;;25.090;81,0%;3,9%;;26.291;80,6%;4,8%
CATALUÑA;19.464;121,9%;20.979;122,0%;7,8%;;21.898;121,0%;4,4%;;22.841;120,1%;4,3%;;23.962;119,4%;4,9%;;25.141;118,3%;4,9%;;26.743;118,0%;6,4%;;28.033;117,7%;4,8%;;28.217;116,6%;0,7%;;26.956;116,5%;-4,5%;;27.096;117,1%;0,5%;;26.644;116,5%;-1,7%;;25.937;117,0%;-2,7%;;25.928;117,8%;0,0%;;26.551;118,7%;2,4%;;27.806;118,6%;4,7%;;28.781;119,0%;3,5%;;29.770;118,3%;3,4%;;30.525;117,6%;2,5%;;31.300;117,6%;2,5%;;27.796;116,5%;-11,2%;;30.360;116,3%;9,2%;;33.043;114,8%;8,8%;;35.600;114,9%;7,7%;;37.477;114,8%;5,3%
COMUNITAT VALENCIANA;15.243;95,5%;16.521;96,1%;8,4%;;17.246;95,3%;4,4%;;17.855;93,9%;3,5%;;18.637;92,9%;4,4%;;19.528;91,9%;4,8%;;20.709;91,4%;6,0%;;21.537;90,4%;4,0%;;21.766;90,0%;1,1%;;20.462;88,4%;-6,0%;;20.419;88,3%;-0,2%;;20.069;87,8%;-1,7%;;19.171;86,5%;-4,5%;;19.137;86,9%;-0,2%;;19.641;87,8%;2,6%;;20.500;87,5%;4,4%;;21.110;87,3%;3,0%;;21.996;87,4%;4,2%;;22.723;87,6%;3,3%;;23.248;87,3%;2,3%;;20.980;88,0%;-9,8%;;22.944;87,9%;9,4%;;24.715;85,8%;7,7%;;26.512;85,6%;7,3%;;27.626;84,7%;4,2%
EXTREMADURA;10.490;65,7%;11.250;65,4%;7,2%;;12.000;66,3%;6,7%;;12.777;67,2%;6,5%;;13.608;67,8%;6,5%;;14.717;69,2%;8,1%;;15.611;68,9%;6,1%;;16.704;70,1%;7,0%;;17.263;71,4%;3,3%;;16.744;72,4%;-3,0%;;16.950;73,3%;1,2%;;16.560;72,4%;-2,3%;;15.953;72,0%;-3,7%;;16.028;72,8%;0,5%;;16.053;71,7%;0,2%;;16.993;72,5%;5,9%;;17.616;72,8%;3,7%;;18.761;74,6%;6,5%;;19.368;74,6%;3,2%;;19.863;74,6%;2,6%;;18.351;76,9%;-7,6%;;20.363;78,0%;11,0%;;22.250;77,3%;9,3%;;23.891;77,1%;7,4%;;25.224;77,3%;5,6%
