Comunidades y Ciudades Autónomas	Sexo	Nivel de formación alcanzado	Periodo	Total
01 Andalucía	Hombres	Analfabetos	2025T4	1,3
01 Andalucía	Hombres	Analfabetos	2025T3	1,1
01 Andalucía	Hombres	Analfabetos	2025T2	1,3
01 Andalucía	Hombres	Analfabetos	2025T1	1,3
01 Andalucía	Hombres	Analfabetos	2024T4	1,0
01 Andalucía	Hombres	Analfabetos	2024T3	1,1
01 Andalucía	Hombres	Analfabetos	2024T2	1,4
01 Andalucía	Hombres	Analfabetos	2024T1	1,3
01 Andalucía	Hombres	Analfabetos	2023T4	1,5
01 Andalucía	Hombres	Analfabetos	2023T3	1,3
01 Andalucía	Hombres	Analfabetos	2023T2	1,4
01 Andalucía	Hombres	Analfabetos	2023T1	1,3
01 Andalucía	Hombres	Analfabetos	2022T4	1,5
01 Andalucía	Hombres	Analfabetos	2022T3	1,6
01 Andalucía	Hombres	Analfabetos	2022T2	1,7
01 Andalucía	Hombres	Analfabetos	2022T1	1,8
01 Andalucía	Hombres	Analfabetos	2021T4	2,0
01 Andalucía	Hombres	Analfabetos	2021T3	2,0
01 Andalucía	Hombres	Analfabetos	2021T2	1,9
01 Andalucía	Hombres	Analfabetos	2021T1	1,8
01 Andalucía	Hombres	Analfabetos	2020T4	1,9
01 Andalucía	Hombres	Analfabetos	2020T3	1,4
01 Andalucía	Hombres	Analfabetos	2020T2	1,5
01 Andalucía	Hombres	Analfabetos	2020T1	1,7
01 Andalucía	Hombres	Analfabetos	2019T4	1,5
01 Andalucía	Hombres	Analfabetos	2019T3	1,5
01 Andalucía	Hombres	Analfabetos	2019T2	1,6
01 Andalucía	Hombres	Analfabetos	2019T1	1,5
01 Andalucía	Hombres	Analfabetos	2018T4	1,6
01 Andalucía	Hombres	Analfabetos	2018T3	1,7
01 Andalucía	Hombres	Analfabetos	2018T2	1,8
01 Andalucía	Hombres	Analfabetos	2018T1	1,9
01 Andalucía	Hombres	Analfabetos	2017T4	1,8
01 Andalucía	Hombres	Analfabetos	2017T3	2,1
01 Andalucía	Hombres	Analfabetos	2017T2	2,1
01 Andalucía	Hombres	Analfabetos	2017T1	2,0
01 Andalucía	Hombres	Analfabetos	2016T4	1,8
01 Andalucía	Hombres	Analfabetos	2016T3	1,9
01 Andalucía	Hombres	Analfabetos	2016T2	1,9
01 Andalucía	Hombres	Analfabetos	2016T1	2,1
01 Andalucía	Hombres	Analfabetos	2015T4	2,1
01 Andalucía	Hombres	Analfabetos	2015T3	2,1
01 Andalucía	Hombres	Analfabetos	2015T2	2,3
01 Andalucía	Hombres	Analfabetos	2015T1	2,4
01 Andalucía	Hombres	Analfabetos	2014T4	2,5
01 Andalucía	Hombres	Analfabetos	2014T3	2,6
01 Andalucía	Hombres	Analfabetos	2014T2	2,8
01 Andalucía	Hombres	Analfabetos	2014T1	2,6
01 Andalucía	Hombres	Estudios primarios incompletos	2025T4	5,0
01 Andalucía	Hombres	Estudios primarios incompletos	2025T3	4,6
01 Andalucía	Hombres	Estudios primarios incompletos	2025T2	5,1
01 Andalucía	Hombres	Estudios primarios incompletos	2025T1	5,1
01 Andalucía	Hombres	Estudios primarios incompletos	2024T4	5,0
01 Andalucía	Hombres	Estudios primarios incompletos	2024T3	5,1
01 Andalucía	Hombres	Estudios primarios incompletos	2024T2	5,3
01 Andalucía	Hombres	Estudios primarios incompletos	2024T1	5,5
01 Andalucía	Hombres	Estudios primarios incompletos	2023T4	5,5
01 Andalucía	Hombres	Estudios primarios incompletos	2023T3	5,7
01 Andalucía	Hombres	Estudios primarios incompletos	2023T2	5,7
01 Andalucía	Hombres	Estudios primarios incompletos	2023T1	5,5
01 Andalucía	Hombres	Estudios primarios incompletos	2022T4	5,4
01 Andalucía	Hombres	Estudios primarios incompletos	2022T3	5,8
01 Andalucía	Hombres	Estudios primarios incompletos	2022T2	5,8
01 Andalucía	Hombres	Estudios primarios incompletos	2022T1	6,3
01 Andalucía	Hombres	Estudios primarios incompletos	2021T4	5,7
01 Andalucía	Hombres	Estudios primarios incompletos	2021T3	5,7
01 Andalucía	Hombres	Estudios primarios incompletos	2021T2	6,0
01 Andalucía	Hombres	Estudios primarios incompletos	2021T1	6,7
01 Andalucía	Hombres	Estudios primarios incompletos	2020T4	6,5
01 Andalucía	Hombres	Estudios primarios incompletos	2020T3	7,0
01 Andalucía	Hombres	Estudios primarios incompletos	2020T2	7,2
01 Andalucía	Hombres	Estudios primarios incompletos	2020T1	7,0
01 Andalucía	Hombres	Estudios primarios incompletos	2019T4	7,7
01 Andalucía	Hombres	Estudios primarios incompletos	2019T3	7,8
01 Andalucía	Hombres	Estudios primarios incompletos	2019T2	7,8
01 Andalucía	Hombres	Estudios primarios incompletos	2019T1	8,1
01 Andalucía	Hombres	Estudios primarios incompletos	2018T4	8,0
