Comunidades y ciudades autónomas	Tipo de gasto	Indicador	Total
Total nacional	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.377
Andalucía	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.128
Aragón	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	970
Asturias, Principado de	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	895
Balears, Illes	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	692
Canarias	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.446
Cantabria	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	680
Castilla y León	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.121
Castilla - La Mancha	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	861
Cataluña	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.945
Comunitat Valenciana	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.437
Extremadura	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	770
Galicia	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.038
Madrid, Comunidad de	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.790
Murcia, Región de	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	835
Navarra, Comunidad Foral de	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.428
País Vasco	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.544
Rioja, La	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	1.435
Ceuta	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	398
Melilla	Gasto en Servicios Educativos Reglados	Gasto Medio por estudiante	287
