Comunidades y Ciudades Autónomas	Renta anual neta media por persona y por unidad de consumo	Periodo	Total
01 Andalucía	Renta neta media por persona	2025	13.079
01 Andalucía	Renta neta media por persona	2024	12.191
01 Andalucía	Renta neta media por persona	2023	11.719
01 Andalucía	Renta neta media por persona	2022	10.703
01 Andalucía	Renta neta media por persona	2021	9.915
01 Andalucía	Renta neta media por persona	2020	9.990
01 Andalucía	Renta neta media por persona	2019	9.160
02 Aragón	Renta neta media por persona	2025	16.717
02 Aragón	Renta neta media por persona	2024	15.747
02 Aragón	Renta neta media por persona	2023	14.810
02 Aragón	Renta neta media por persona	2022	14.015
02 Aragón	Renta neta media por persona	2021	13.345
02 Aragón	Renta neta media por persona	2020	13.097
02 Aragón	Renta neta media por persona	2019	12.300
03 Asturias, Principado de	Renta neta media por persona	2025	16.725
03 Asturias, Principado de	Renta neta media por persona	2024	16.201
03 Asturias, Principado de	Renta neta media por persona	2023	15.432
03 Asturias, Principado de	Renta neta media por persona	2022	13.777
03 Asturias, Principado de	Renta neta media por persona	2021	12.861
03 Asturias, Principado de	Renta neta media por persona	2020	12.786
03 Asturias, Principado de	Renta neta media por persona	2019	12.523
04 Balears, Illes	Renta neta media por persona	2025	16.735
04 Balears, Illes	Renta neta media por persona	2024	15.926
04 Balears, Illes	Renta neta media por persona	2023	14.139
04 Balears, Illes	Renta neta media por persona	2022	12.451
04 Balears, Illes	Renta neta media por persona	2021	11.235
04 Balears, Illes	Renta neta media por persona	2020	12.658
04 Balears, Illes	Renta neta media por persona	2019	12.410
05 Canarias	Renta neta media por persona	2025	14.222
05 Canarias	Renta neta media por persona	2024	13.372
05 Canarias	Renta neta media por persona	2023	12.177
05 Canarias	Renta neta media por persona	2022	10.716
05 Canarias	Renta neta media por persona	2021	10.161
05 Canarias	Renta neta media por persona	2020	9.935
05 Canarias	Renta neta media por persona	2019	9.487
06 Cantabria	Renta neta media por persona	2025	15.964
06 Cantabria	Renta neta media por persona	2024	14.708
06 Cantabria	Renta neta media por persona	2023	14.162
06 Cantabria	Renta neta media por persona	2022	13.811
06 Cantabria	Renta neta media por persona	2021	12.848
06 Cantabria	Renta neta media por persona	2020	12.748
06 Cantabria	Renta neta media por persona	2019	12.205
07 Castilla y León	Renta neta media por persona	2025	15.598
07 Castilla y León	Renta neta media por persona	2024	14.940
07 Castilla y León	Renta neta media por persona	2023	14.124
07 Castilla y León	Renta neta media por persona	2022	13.323
07 Castilla y León	Renta neta media por persona	2021	12.656
07 Castilla y León	Renta neta media por persona	2020	12.697
07 Castilla y León	Renta neta media por persona	2019	12.003
08 Castilla - La Mancha	Renta neta media por persona	2025	13.387
08 Castilla - La Mancha	Renta neta media por persona	2024	12.357
08 Castilla - La Mancha	Renta neta media por persona	2023	11.913
08 Castilla - La Mancha	Renta neta media por persona	2022	11.037
08 Castilla - La Mancha	Renta neta media por persona	2021	10.257
08 Castilla - La Mancha	Renta neta media por persona	2020	10.485
08 Castilla - La Mancha	Renta neta media por persona	2019	9.715
09 Cataluña	Renta neta media por persona	2025	17.262
09 Cataluña	Renta neta media por persona	2024	16.546
09 Cataluña	Renta neta media por persona	2023	15.830
09 Cataluña	Renta neta media por persona	2022	14.692
09 Cataluña	Renta neta media por persona	2021	14.159
09 Cataluña	Renta neta media por persona	2020	14.170
09 Cataluña	Renta neta media por persona	2019	13.527
10 Comunitat Valenciana	Renta neta media por persona	2025	14.017
