Comunidad autónoma	Sexo	periodo	Total
Andalucía	HOMBRES	2022-23	26,4
Andalucía	HOMBRES	2021-22	25,2
Andalucía	HOMBRES	2020-21	27,0
Andalucía	HOMBRES	2019-20	21,2
Andalucía	HOMBRES	2018-19	22,2
Andalucía	HOMBRES	2017-18	21,9
Andalucía	HOMBRES	2016-17	22,5
Andalucía	HOMBRES	2015-16	22,6
Andalucía	HOMBRES	2014-15	22,0
Andalucía	HOMBRES	2013-14 (2)	22,7
Andalucía	HOMBRES	2012-13	20,3
Andalucía	HOMBRES	2011-12	20,3
Andalucía	HOMBRES	2010-11	15,8
Andalucía	HOMBRES	2009-10	15,8
Andalucía	HOMBRES	2008-09	13,8
Andalucía	HOMBRES	2007-08	15,2
Andalucía	HOMBRES	2006-07	14,5
Andalucía	HOMBRES	2005-06	15,5
Andalucía	HOMBRES	2004-05	15,3
Andalucía	HOMBRES	2003-04	16,3
Andalucía	HOMBRES	2002-03	14,8
Andalucía	HOMBRES	2001-02	11,0
Andalucía	HOMBRES	2000-01	8,1
Andalucía	HOMBRES	1999-00	6,6
Andalucía	HOMBRES	1998-99	15,7
Andalucía	HOMBRES	1997-98	12,5
Andalucía	HOMBRES	1996-97	11,8
Andalucía	HOMBRES	1995-96	12,4
Andalucía	HOMBRES	1994-95	13,1
Andalucía	HOMBRES	1993-94	13,6
Andalucía	HOMBRES	1992-93	16,6
Andalucía	HOMBRES	1991-92	15,9
Andalucía	HOMBRES	1990-91	14,9
Andalucía	MUJERES	2022-23	25,8
Andalucía	MUJERES	2021-22	25,5
Andalucía	MUJERES	2020-21	27,1
Andalucía	MUJERES	2019-20	21,8
Andalucía	MUJERES	2018-19	21,7
Andalucía	MUJERES	2017-18	21,0
Andalucía	MUJERES	2016-17	22,9
Andalucía	MUJERES	2015-16	23,6
Andalucía	MUJERES	2014-15	22,8
Andalucía	MUJERES	2013-14 (2)	23,3
Andalucía	MUJERES	2012-13	21,8
Andalucía	MUJERES	2011-12	23,2
Andalucía	MUJERES	2010-11	21,7
Andalucía	MUJERES	2009-10	20,3
Andalucía	MUJERES	2008-09	19,3
Andalucía	MUJERES	2007-08	23,1
Andalucía	MUJERES	2006-07	23,9
Andalucía	MUJERES	2005-06	23,3
Andalucía	MUJERES	2004-05	24,1
Andalucía	MUJERES	2003-04	23,8
Andalucía	MUJERES	2002-03	21,8
Andalucía	MUJERES	2001-02	13,9
Andalucía	MUJERES	2000-01	10,6
Andalucía	MUJERES	1999-00	9,2
Andalucía	MUJERES	1998-99	18,4
Andalucía	MUJERES	1997-98	12,5
Andalucía	MUJERES	1996-97	12,3
Andalucía	MUJERES	1995-96	14,6
Andalucía	MUJERES	1994-95	16,0
Andalucía	MUJERES	1993-94	16,4
Andalucía	MUJERES	1992-93	18,4
Andalucía	MUJERES	1991-92	18,4
Andalucía	MUJERES	1990-91	17,5
Aragón	HOMBRES	2022-23	29,1
Aragón	HOMBRES	2021-22	29,4
Aragón	HOMBRES	2020-21	30,9
Aragón	HOMBRES	2019-20	25,2
Aragón	HOMBRES	2018-19	25,9
Aragón	HOMBRES	2017-18	29,2
Aragón	HOMBRES	2016-17	28,5
Aragón	HOMBRES	2015-16	29,2
Aragón	HOMBRES	2014-15	30,4
Aragón	HOMBRES	2013-14 (2)	26,3
Aragón	HOMBRES	2012-13	26,4
Aragón	HOMBRES	2011-12	28,5
Aragón	HOMBRES	2010-11	22,8
Aragón	HOMBRES	2009-10	22,3
Aragón	HOMBRES	2008-09	20,7
Aragón	HOMBRES	2007-08	20,3
Aragón	HOMBRES	2006-07	20,9
Aragón	HOMBRES	2005-06	17,6
Aragón	HOMBRES	2004-05	17,7
Aragón	HOMBRES	2003-04	18,3
Aragón	HOMBRES	2002-03	17,6
Aragón	HOMBRES	2001-02	16,1
Aragón	HOMBRES	2000-01	17,8
Aragón	HOMBRES	1999-00	14,6
Aragón	HOMBRES	1998-99	18,2
Aragón	HOMBRES	1997-98	17,2
Aragón	HOMBRES	1996-97	21,9
Aragón	HOMBRES	1995-96	28,5
Aragón	HOMBRES	1994-95	25,5
Aragón	HOMBRES	1993-94	24,0
Aragón	HOMBRES	1992-93	24,6
Aragón	HOMBRES	1991-92	25,6
Aragón	HOMBRES	1990-91	23,2
Aragón	MUJERES	2022-23	27,2
Aragón	MUJERES	2021-22	22,1
Aragón	MUJERES	2020-21	27,3
Aragón	MUJERES	2019-20	22,1
Aragón	MUJERES	2018-19	20,7
Aragón	MUJERES	2017-18	21,8
Aragón	MUJERES	2016-17	21,4
Aragón	MUJERES	2015-16	23,4
Aragón	MUJERES	2014-15	24,1
Aragón	MUJERES	2013-14 (2)	18,0
Aragón	MUJERES	2012-13	17,8
Aragón	MUJERES	2011-12	24,5
Aragón	MUJERES	2010-11	24,7
Aragón	MUJERES	2009-10	19,9
Aragón	MUJERES	2008-09	19,9
Aragón	MUJERES	2007-08	19,3
Aragón	MUJERES	2006-07	19,1
Aragón	MUJERES	2005-06	17,5
Aragón	MUJERES	2004-05	19,0
Aragón	MUJERES	2003-04	15,4
Aragón	MUJERES	2002-03	17,4
Aragón	MUJERES	2001-02	16,2
Aragón	MUJERES	2000-01	14,6
Aragón	MUJERES	1999-00	11,9
Aragón	MUJERES	1998-99	14,9
Aragón	MUJERES	1997-98	11,0
Aragón	MUJERES	1996-97	15,5
Aragón	MUJERES	1995-96	17,6
Aragón	MUJERES	1994-95	19,7
Aragón	MUJERES	1993-94	19,7
Aragón	MUJERES	1992-93	19,8
Aragón	MUJERES	1991-92	20,5
Aragón	MUJERES	1990-91	21,3
Asturias, Principado de	HOMBRES	2022-23	23,9
Asturias, Principado de	HOMBRES	2021-22	24,1
Asturias, Principado de	HOMBRES	2020-21	29,2
Asturias, Principado de	HOMBRES	2019-20	23,8
Asturias, Principado de	HOMBRES	2018-19	24,9
Asturias, Principado de	HOMBRES	2017-18	26,3
Asturias, Principado de	HOMBRES	2016-17	27,4
Asturias, Principado de	HOMBRES	2015-16	31,2
Asturias, Principado de	HOMBRES	2014-15	33,7
Asturias, Principado de	HOMBRES	2013-14 (2)	34,0
Asturias, Principado de	HOMBRES	2012-13	31,2
Asturias, Principado de	HOMBRES	2011-12	28,3
Asturias, Principado de	HOMBRES	2010-11	23,7
Asturias, Principado de	HOMBRES	2009-10	19,4
Asturias, Principado de	HOMBRES	2008-09	18,9
Asturias, Principado de	HOMBRES	2007-08	20,2
