Comunidad autónoma	Sexo	periodo	Total
Andalucía	HOMBRES	2022-23	6,1
Andalucía	HOMBRES	2021-22	5,6
Andalucía	HOMBRES	2020-21	6,9
Andalucía	HOMBRES	2019-20	5,6
Andalucía	HOMBRES	2018-19	5,7
Andalucía	HOMBRES	2017-18	5,6
Andalucía	HOMBRES	2016-17	5,4
Andalucía	HOMBRES	2015-16	4,6
Andalucía	MUJERES	2022-23	2,5
Andalucía	MUJERES	2021-22	2,1
Andalucía	MUJERES	2020-21	2,8
Andalucía	MUJERES	2019-20	2,4
Andalucía	MUJERES	2018-19	2,2
Andalucía	MUJERES	2017-18	2,1
Andalucía	MUJERES	2016-17	2,0
Andalucía	MUJERES	2015-16	1,7
Aragón	HOMBRES	2022-23	8,3
Aragón	HOMBRES	2021-22	7,2
Aragón	HOMBRES	2020-21	9,0
Aragón	HOMBRES	2019-20	7,9
Aragón	HOMBRES	2018-19	8,3
Aragón	HOMBRES	2017-18	8,0
Aragón	HOMBRES	2016-17	8,4
Aragón	HOMBRES	2015-16	6,4
Aragón	MUJERES	2022-23	3,8
Aragón	MUJERES	2021-22	2,9
Aragón	MUJERES	2020-21	4,1
Aragón	MUJERES	2019-20	3,4
Aragón	MUJERES	2018-19	4,0
Aragón	MUJERES	2017-18	3,0
Aragón	MUJERES	2016-17	3,9
Aragón	MUJERES	2015-16	2,4
Asturias, Principado de	HOMBRES	2022-23	2,8
Asturias, Principado de	HOMBRES	2021-22	3,4
Asturias, Principado de	HOMBRES	2020-21	3,2
Asturias, Principado de	HOMBRES	2019-20	4,2
Asturias, Principado de	HOMBRES	2018-19	3,6
Asturias, Principado de	HOMBRES	2017-18	3,3
Asturias, Principado de	HOMBRES	2016-17	2,6
Asturias, Principado de	HOMBRES	2015-16	2,3
Asturias, Principado de	MUJERES	2022-23	1,5
Asturias, Principado de	MUJERES	2021-22	1,4
Asturias, Principado de	MUJERES	2020-21	1,5
Asturias, Principado de	MUJERES	2019-20	1,5
Asturias, Principado de	MUJERES	2018-19	1,1
Asturias, Principado de	MUJERES	2017-18	1,2
Asturias, Principado de	MUJERES	2016-17	1,1
Asturias, Principado de	MUJERES	2015-16	1,2
Balears, Illes	HOMBRES	2022-23	6,0
Balears, Illes	HOMBRES	2021-22	6,1
Balears, Illes	HOMBRES	2020-21	7,4
Balears, Illes	HOMBRES	2019-20	6,6
Balears, Illes	HOMBRES	2018-19	6,1
Balears, Illes	HOMBRES	2017-18	6,1
Balears, Illes	HOMBRES	2016-17	5,9
Balears, Illes	HOMBRES	2015-16	5,6
Balears, Illes	MUJERES	2022-23	2,7
Balears, Illes	MUJERES	2021-22	2,8
Balears, Illes	MUJERES	2020-21	3,5
Balears, Illes	MUJERES	2019-20	3,0
Balears, Illes	MUJERES	2018-19	3,3
Balears, Illes	MUJERES	2017-18	3,0
Balears, Illes	MUJERES	2016-17	2,5
Balears, Illes	MUJERES	2015-16	2,2
Canarias	HOMBRES	2022-23	5,6
Canarias	HOMBRES	2021-22	5,3
Canarias	HOMBRES	2020-21	6,1
Canarias	HOMBRES	2019-20	6,8
Canarias	HOMBRES	2018-19	6,1
Canarias	HOMBRES	2017-18	5,9
Canarias	HOMBRES	2016-17	6,1
Canarias	HOMBRES	2015-16	4,4
Canarias	MUJERES	2022-23	2,0
Canarias	MUJERES	2021-22	2,3
Canarias	MUJERES	2020-21	2,8
Canarias	MUJERES	2019-20	2,6
Canarias	MUJERES	2018-19	2,5
Canarias	MUJERES	2017-18	2,9
Canarias	MUJERES	2016-17	2,1
Canarias	MUJERES	2015-16	1,6
Cantabria	HOMBRES	2022-23	5,5
Cantabria	HOMBRES	2021-22	5,3
Cantabria	HOMBRES	2020-21	7,1
Cantabria	HOMBRES	2019-20	7,0
Cantabria	HOMBRES	2018-19	5,3
Cantabria	HOMBRES	2017-18	6,0
Cantabria	HOMBRES	2016-17	5,9
Cantabria	HOMBRES	2015-16	5,5
Cantabria	MUJERES	2022-23	2,0
Cantabria	MUJERES	2021-22	2,3
Cantabria	MUJERES	2020-21	2,5
Cantabria	MUJERES	2019-20	3,0
Cantabria	MUJERES	2018-19	3,3
Cantabria	MUJERES	2017-18	2,9
Cantabria	MUJERES	2016-17	2,3
Cantabria	MUJERES	2015-16	2,2
Castilla y León	HOMBRES	2022-23	7,1
Castilla y León	HOMBRES	2021-22	6,8
Castilla y León	HOMBRES	2020-21	8,3
Castilla y León	HOMBRES	2019-20	7,3
Castilla y León	HOMBRES	2018-19	7,1
Castilla y León	HOMBRES	2017-18	7,2
Castilla y León	HOMBRES	2016-17	5,4
Castilla y León	HOMBRES	2015-16	5,5
Castilla y León	MUJERES	2022-23	3,5
Castilla y León	MUJERES	2021-22	3,0
Castilla y León	MUJERES	2020-21	4,0
Castilla y León	MUJERES	2019-20	3,2
Castilla y León	MUJERES	2018-19	3,5
Castilla y León	MUJERES	2017-18	2,9
Castilla y León	MUJERES	2016-17	3,0
Castilla y León	MUJERES	2015-16	2,5
Castilla-La Mancha	HOMBRES	2022-23	7,5
Castilla-La Mancha	HOMBRES	2021-22	8,3
Castilla-La Mancha	HOMBRES	2020-21	9,4
Castilla-La Mancha	HOMBRES	2019-20	8,6
Castilla-La Mancha	HOMBRES	2018-19	7,9
Castilla-La Mancha	HOMBRES	2017-18	8,4
Castilla-La Mancha	HOMBRES	2016-17	7,5
Castilla-La Mancha	HOMBRES	2015-16	5,0
Castilla-La Mancha	MUJERES	2022-23	3,9
Castilla-La Mancha	MUJERES	2021-22	3,7
Castilla-La Mancha	MUJERES	2020-21	4,4
Castilla-La Mancha	MUJERES	2019-20	4,0
Castilla-La Mancha	MUJERES	2018-19	3,6
Castilla-La Mancha	MUJERES	2017-18	3,8
Castilla-La Mancha	MUJERES	2016-17	3,3
Castilla-La Mancha	MUJERES	2015-16	2,7
Cataluña	HOMBRES	2022-23	0,3
Cataluña	HOMBRES	2021-22	0,0
Cataluña	HOMBRES	2020-21	0,0
Cataluña	HOMBRES	2019-20	0,0
Cataluña	HOMBRES	2018-19	0,0
Cataluña	HOMBRES	2017-18	0,0
Cataluña	HOMBRES	2016-17	0,0
Cataluña	HOMBRES	2015-16	0,0
Cataluña	MUJERES	2022-23	0,1
Cataluña	MUJERES	2021-22	0,0
Cataluña	MUJERES	2020-21	0,0
Cataluña	MUJERES	2019-20	0,0
Cataluña	MUJERES	2018-19	0,0
Cataluña	MUJERES	2017-18	0,0
Cataluña	MUJERES	2016-17	0,0
Cataluña	MUJERES	2015-16	0,0
Comunitat Valenciana	HOMBRES	2022-23	8,1
Comunitat Valenciana	HOMBRES	2021-22	8,1
Comunitat Valenciana	HOMBRES	2020-21	9,0
Comunitat Valenciana	HOMBRES	2019-20	9,3
Comunitat Valenciana	HOMBRES	2018-19	9,0
Comunitat Valenciana	HOMBRES	2017-18	8,5
Comunitat Valenciana	HOMBRES	2016-17	8,0
Comunitat Valenciana	HOMBRES	2015-16	6,4
Comunitat Valenciana	MUJERES	2022-23	3,9
Comunitat Valenciana	MUJERES	2021-22	3,7
Comunitat Valenciana	MUJERES	2020-21	4,5
Comunitat Valenciana	MUJERES	2019-20	4,3
Comunitat Valenciana	MUJERES	2018-19	4,1
Comunitat Valenciana	MUJERES	2017-18	4,1
Comunitat Valenciana	MUJERES	2016-17	4,1
Comunitat Valenciana	MUJERES	2015-16	3,3
Extremadura	HOMBRES	2022-23	8,9
Extremadura	HOMBRES	2021-22	8,1
Extremadura	HOMBRES	2020-21	8,8
Extremadura	HOMBRES	2019-20	9,3
Extremadura	HOMBRES	2018-19	8,4
Extremadura	HOMBRES	2017-18	8,2
Extremadura	HOMBRES	2016-17	8,2
Extremadura	HOMBRES	2015-16	6,4
Extremadura	MUJERES	2022-23	3,1
Extremadura	MUJERES	2021-22	3,2
Extremadura	MUJERES	2020-21	4,1
Extremadura	MUJERES	2019-20	4,0
Extremadura	MUJERES	2018-19	3,6
Extremadura	MUJERES	2017-18	3,4
Extremadura	MUJERES	2016-17	3,2
Extremadura	MUJERES	2015-16	2,6
Galicia	HOMBRES	2022-23	9,4
Galicia	HOMBRES	2021-22	8,4
Galicia	HOMBRES	2020-21	10,6
Galicia	HOMBRES	2019-20	10,1
Galicia	HOMBRES	2018-19	8,6
Galicia	HOMBRES	2017-18	8,1
Galicia	HOMBRES	2016-17	8,2
Galicia	HOMBRES	2015-16	4,9
Galicia	MUJERES	2022-23	4,2
Galicia	MUJERES	2021-22	3,8
Galicia	MUJERES	2020-21	5,1
Galicia	MUJERES	2019-20	4,2
Galicia	MUJERES	2018-19	3,9
Galicia	MUJERES	2017-18	3,5
Galicia	MUJERES	2016-17	3,4
Galicia	MUJERES	2015-16	1,9
Madrid, Comunidad de	HOMBRES	2022-23	5,4
Madrid, Comunidad de	HOMBRES	2021-22	4,6
Madrid, Comunidad de	HOMBRES	2020-21	4,2
Madrid, Comunidad de	HOMBRES	2019-20	4,6
Madrid, Comunidad de	HOMBRES	2018-19	3,8
Madrid, Comunidad de	HOMBRES	2017-18	4,3
Madrid, Comunidad de	HOMBRES	2016-17	3,7
Madrid, Comunidad de	HOMBRES	2015-16	3,0
Madrid, Comunidad de	MUJERES	2022-23	3,2
Madrid, Comunidad de	MUJERES	2021-22	2,6
Madrid, Comunidad de	MUJERES	2020-21	2,6
Madrid, Comunidad de	MUJERES	2019-20	2,6
Madrid, Comunidad de	MUJERES	2018-19	2,1
Madrid, Comunidad de	MUJERES	2017-18	2,4
Madrid, Comunidad de	MUJERES	2016-17	2,1
Madrid, Comunidad de	MUJERES	2015-16	1,5
Murcia, Región de	HOMBRES	2022-23	9,2
Murcia, Región de	HOMBRES	2021-22	8,9
Murcia, Región de	HOMBRES	2020-21	9,9
Murcia, Región de	HOMBRES	2019-20	8,1
Murcia, Región de	HOMBRES	2018-19	8,1
Murcia, Región de	HOMBRES	2017-18	7,4
Murcia, Región de	HOMBRES	2016-17	5,8
Murcia, Región de	HOMBRES	2015-16	5,9
Murcia, Región de	MUJERES	2022-23	5,6
Murcia, Región de	MUJERES	2021-22	4,8
Murcia, Región de	MUJERES	2020-21	5,8
Murcia, Región de	MUJERES	2019-20	5,5
Murcia, Región de	MUJERES	2018-19	4,6
Murcia, Región de	MUJERES	2017-18	4,0
Murcia, Región de	MUJERES	2016-17	3,6
Murcia, Región de	MUJERES	2015-16	2,7
Navarra, Comunidad Foral de	HOMBRES	2022-23	5,3
Navarra, Comunidad Foral de	HOMBRES	2021-22	6,6
Navarra, Comunidad Foral de	HOMBRES	2020-21	8,2
Navarra, Comunidad Foral de	HOMBRES	2019-20	7,3
Navarra, Comunidad Foral de	HOMBRES	2018-19	6,4
Navarra, Comunidad Foral de	HOMBRES	2017-18	6,4
Navarra, Comunidad Foral de	HOMBRES	2016-17	5,6
Navarra, Comunidad Foral de	HOMBRES	2015-16	5,2
Navarra, Comunidad Foral de	MUJERES	2022-23	2,4
Navarra, Comunidad Foral de	MUJERES	2021-22	2,9
Navarra, Comunidad Foral de	MUJERES	2020-21	3,6
Navarra, Comunidad Foral de	MUJERES	2019-20	3,4
Navarra, Comunidad Foral de	MUJERES	2018-19	3,0
Navarra, Comunidad Foral de	MUJERES	2017-18	2,6
Navarra, Comunidad Foral de	MUJERES	2016-17	1,9
Navarra, Comunidad Foral de	MUJERES	2015-16	1,5
País Vasco	HOMBRES	2022-23	8,5
País Vasco	HOMBRES	2021-22	8,8
País Vasco	HOMBRES	2020-21	10,6
País Vasco	HOMBRES	2019-20	8,6
País Vasco	HOMBRES	2018-19	10,1
País Vasco	HOMBRES	2017-18	10,3
País Vasco	HOMBRES	2016-17	9,9
País Vasco	HOMBRES	2015-16	8,4
País Vasco	MUJERES	2022-23	3,7
País Vasco	MUJERES	2021-22	3,6
País Vasco	MUJERES	2020-21	4,2
País Vasco	MUJERES	2019-20	4,1
País Vasco	MUJERES	2018-19	4,0
País Vasco	MUJERES	2017-18	4,8
País Vasco	MUJERES	2016-17	4,2
País Vasco	MUJERES	2015-16	3,8
Rioja, La	HOMBRES	2022-23	11,1
Rioja, La	HOMBRES	2021-22	10,5
Rioja, La	HOMBRES	2020-21	11,7
Rioja, La	HOMBRES	2019-20	13,3
Rioja, La	HOMBRES	2018-19	13,8
Rioja, La	HOMBRES	2017-18	11,5
Rioja, La	HOMBRES	2016-17	9,4
Rioja, La	HOMBRES	2015-16	9,0
Rioja, La	MUJERES	2022-23	6,7
Rioja, La	MUJERES	2021-22	5,0
Rioja, La	MUJERES	2020-21	8,7
Rioja, La	MUJERES	2019-20	6,5
Rioja, La	MUJERES	2018-19	7,5
Rioja, La	MUJERES	2017-18	6,5
Rioja, La	MUJERES	2016-17	5,3
Rioja, La	MUJERES	2015-16	6,3
Ceuta	HOMBRES	2022-23	13,0
Ceuta	HOMBRES	2021-22	12,9
Ceuta	HOMBRES	2020-21	4,8
Ceuta	HOMBRES	2019-20	8,7
Ceuta	HOMBRES	2018-19	7,8
Ceuta	HOMBRES	2017-18	4,7
Ceuta	HOMBRES	2016-17	7,2
Ceuta	HOMBRES	2015-16	6,9
Ceuta	MUJERES	2022-23	8,3
Ceuta	MUJERES	2021-22	7,1
Ceuta	MUJERES	2020-21	2,3
Ceuta	MUJERES	2019-20	7,3
Ceuta	MUJERES	2018-19	3,1
Ceuta	MUJERES	2017-18	5,6
Ceuta	MUJERES	2016-17	5,4
Ceuta	MUJERES	2015-16	4,7
Melilla	HOMBRES	2022-23	13,6
Melilla	HOMBRES	2021-22	12,5
Melilla	HOMBRES	2020-21	8,9
Melilla	HOMBRES	2019-20	9,7
Melilla	HOMBRES	2018-19	7,4
Melilla	HOMBRES	2017-18	9,4
Melilla	HOMBRES	2016-17	5,4
Melilla	HOMBRES	2015-16	6,9
Melilla	MUJERES	2022-23	9,4
Melilla	MUJERES	2021-22	5,7
Melilla	MUJERES	2020-21	6,9
Melilla	MUJERES	2019-20	3,4
Melilla	MUJERES	2018-19	3,2
Melilla	MUJERES	2017-18	4,4
Melilla	MUJERES	2016-17	4,1
Melilla	MUJERES	2015-16	6,7
