Comunidad autónoma	Sexo	periodo	Total
Andalucía	HOMBRES	2022-23	31,5
Andalucía	HOMBRES	2021-22	30,7
Andalucía	HOMBRES	2020-21	33,1
Andalucía	HOMBRES	2019-20	22,2
Andalucía	HOMBRES	2018-19	25,1
Andalucía	HOMBRES	2017-18	23,6
Andalucía	HOMBRES	2016-17	21,5
Andalucía	HOMBRES	2015-16	22,3
Andalucía	HOMBRES	2014-15	20,6
Andalucía	HOMBRES	2013-14 (2)	20,8
Andalucía	HOMBRES	2012-13	17,8
Andalucía	HOMBRES	2011-12	16,4
Andalucía	HOMBRES	2010-11	14,2
Andalucía	HOMBRES	2009-10	13,7
Andalucía	HOMBRES	2008-09	11,8
Andalucía	HOMBRES	2007-08	11,0
Andalucía	HOMBRES	2006-07	10,9
Andalucía	HOMBRES	2005-06	11,5
Andalucía	HOMBRES	2004-05	11,5
Andalucía	HOMBRES	2003-04	11,4
Andalucía	HOMBRES	2002-03	10,2
Andalucía	HOMBRES	2001-02	11,8
Andalucía	HOMBRES	2000-01	11,2
Andalucía	HOMBRES	1999-00	11,0
Andalucía	HOMBRES	1998-99	12,7
Andalucía	HOMBRES	1997-98	12,4
Andalucía	HOMBRES	1996-97	12,6
Andalucía	HOMBRES	1995-96	12,2
Andalucía	HOMBRES	1994-95	12,6
Andalucía	HOMBRES	1993-94	11,4
Andalucía	HOMBRES	1992-93	10,3
Andalucía	HOMBRES	1991-92	10,2
Andalucía	HOMBRES	1990-91	9,0
Andalucía	MUJERES	2022-23	40,2
Andalucía	MUJERES	2021-22	39,5
Andalucía	MUJERES	2020-21	41,5
Andalucía	MUJERES	2019-20	30,3
Andalucía	MUJERES	2018-19	32,0
Andalucía	MUJERES	2017-18	30,3
Andalucía	MUJERES	2016-17	26,5
Andalucía	MUJERES	2015-16	27,6
Andalucía	MUJERES	2014-15	24,8
Andalucía	MUJERES	2013-14 (2)	26,3
Andalucía	MUJERES	2012-13	23,2
Andalucía	MUJERES	2011-12	21,6
Andalucía	MUJERES	2010-11	19,9
Andalucía	MUJERES	2009-10	18,1
Andalucía	MUJERES	2008-09	16,6
Andalucía	MUJERES	2007-08	16,0
Andalucía	MUJERES	2006-07	16,1
Andalucía	MUJERES	2005-06	16,2
Andalucía	MUJERES	2004-05	16,2
Andalucía	MUJERES	2003-04	15,9
Andalucía	MUJERES	2002-03	13,3
Andalucía	MUJERES	2001-02	15,5
Andalucía	MUJERES	2000-01	14,4
Andalucía	MUJERES	1999-00	14,5
Andalucía	MUJERES	1998-99	15,4
Andalucía	MUJERES	1997-98	16,0
Andalucía	MUJERES	1996-97	16,2
Andalucía	MUJERES	1995-96	16,0
Andalucía	MUJERES	1994-95	16,6
Andalucía	MUJERES	1993-94	15,4
Andalucía	MUJERES	1992-93	13,9
Andalucía	MUJERES	1991-92	12,6
Andalucía	MUJERES	1990-91	10,2
Aragón	HOMBRES	2022-23	34,7
Aragón	HOMBRES	2021-22	31,8
Aragón	HOMBRES	2020-21	35,8
Aragón	HOMBRES	2019-20	25,2
Aragón	HOMBRES	2018-19	30,0
Aragón	HOMBRES	2017-18	30,6
Aragón	HOMBRES	2016-17	27,6
Aragón	HOMBRES	2015-16	30,7
Aragón	HOMBRES	2014-15	31,4
Aragón	HOMBRES	2013-14 (2)	25,4
Aragón	HOMBRES	2012-13	23,1
Aragón	HOMBRES	2011-12	25,1
Aragón	HOMBRES	2010-11	21,0
Aragón	HOMBRES	2009-10	17,9
Aragón	HOMBRES	2008-09	16,3
Aragón	HOMBRES	2007-08	16,5
Aragón	HOMBRES	2006-07	17,8
Aragón	HOMBRES	2005-06	18,5
Aragón	HOMBRES	2004-05	18,3
