Comunidad autónoma	Sexo	periodo	Total
Andalucía	HOMBRES	2022-23	48,0
Andalucía	HOMBRES	2021-22	47,8
Andalucía	HOMBRES	2020-21	46,0
Andalucía	HOMBRES	2019-20	53,1
Andalucía	HOMBRES	2018-19	46,3
Andalucía	HOMBRES	2017-18	46,1
Andalucía	HOMBRES	2016-17	47,0
Andalucía	HOMBRES	2015-16	49,2
Andalucía	HOMBRES	2014-15	45,7
Andalucía	HOMBRES	2013-14 (2)	45,5
Andalucía	HOMBRES	2012-13	43,7
Andalucía	HOMBRES	2011-12	42,9
Andalucía	HOMBRES	2010-11	39,6
Andalucía	HOMBRES	2009-10	36,1
Andalucía	HOMBRES	2008-09	34,3
Andalucía	HOMBRES	2007-08	33,1
Andalucía	HOMBRES	2006-07	32,0
Andalucía	HOMBRES	2005-06	31,6
Andalucía	HOMBRES	2004-05	31,2
Andalucía	HOMBRES	2003-04	32,8
Andalucía	HOMBRES	2002-03	33,1
Andalucía	HOMBRES	2001-02	29,7
Andalucía	HOMBRES	2000-01	42,4
Andalucía	HOMBRES	1999-00	40,9
Andalucía	HOMBRES	1998-99	43,4
Andalucía	HOMBRES	1997-98	39,6
Andalucía	HOMBRES	1996-97	36,6
Andalucía	HOMBRES	1995-96	32,0
Andalucía	HOMBRES	1994-95	30,6
Andalucía	HOMBRES	1993-94	27,8
Andalucía	HOMBRES	1992-93	26,8
Andalucía	HOMBRES	1991-92	24,3
Andalucía	HOMBRES	1990-91	27,7
Andalucía	MUJERES	2022-23	62,0
Andalucía	MUJERES	2021-22	62,2
Andalucía	MUJERES	2020-21	60,9
Andalucía	MUJERES	2019-20	68,7
Andalucía	MUJERES	2018-19	61,3
Andalucía	MUJERES	2017-18	61,1
Andalucía	MUJERES	2016-17	62,5
Andalucía	MUJERES	2015-16	63,3
Andalucía	MUJERES	2014-15	60,0
Andalucía	MUJERES	2013-14 (2)	59,4
Andalucía	MUJERES	2012-13	56,9
Andalucía	MUJERES	2011-12	55,2
Andalucía	MUJERES	2010-11	52,8
Andalucía	MUJERES	2009-10	49,0
Andalucía	MUJERES	2008-09	48,1
Andalucía	MUJERES	2007-08	46,9
Andalucía	MUJERES	2006-07	47,2
