Comunidad autónoma	Sexo	periodo	Total
Andalucía	HOMBRES	2022-23	77,1
Andalucía	HOMBRES	2021-22	73,6
Andalucía	HOMBRES	2020-21	76,8
Andalucía	HOMBRES	2019-20	76,7
Andalucía	HOMBRES	2018-19	71,8
Andalucía	HOMBRES	2017-18	69,8
Andalucía	HOMBRES	2016-17	68,3
Andalucía	HOMBRES	2015-16	71,9
Andalucía	HOMBRES	2014-15	69,7
Andalucía	HOMBRES	2013-14 (2)	68,5
Andalucía	HOMBRES	2012-13	68,7
Andalucía	HOMBRES	2011-12	67,6
Andalucía	HOMBRES	2010-11	67,5
Andalucía	HOMBRES	2009-10	67,8
Andalucía	HOMBRES	2008-09	64,4
Andalucía	HOMBRES	2007-08	57,8
Andalucía	HOMBRES	2006-07	57,6
Andalucía	HOMBRES	2005-06	57,4
Andalucía	HOMBRES	2004-05	56,8
Andalucía	HOMBRES	2003-04	56,7
Andalucía	HOMBRES	2002-03	58,6
Andalucía	HOMBRES	2001-02	59,0
Andalucía	HOMBRES	2000-01	66,2
Andalucía	HOMBRES	1999-00	65,8
Andalucía	MUJERES	2022-23	85,5
Andalucía	MUJERES	2021-22	83,0
Andalucía	MUJERES	2020-21	85,1
Andalucía	MUJERES	2019-20	86,8
Andalucía	MUJERES	2018-19	82,4
Andalucía	MUJERES	2017-18	81,6
Andalucía	MUJERES	2016-17	80,3
Andalucía	MUJERES	2015-16	83,6
Andalucía	MUJERES	2014-15	81,8
Andalucía	MUJERES	2013-14 (2)	80,7
Andalucía	MUJERES	2012-13	80,3
Andalucía	MUJERES	2011-12	79,7
Andalucía	MUJERES	2010-11	79,4
Andalucía	MUJERES	2009-10	79,8
Andalucía	MUJERES	2008-09	78,0
Andalucía	MUJERES	2007-08	71,2
Andalucía	MUJERES	2006-07	72,9
Andalucía	MUJERES	2005-06	73,1
Andalucía	MUJERES	2004-05	72,1
Andalucía	MUJERES	2003-04	77,0
Andalucía	MUJERES	2002-03	75,3
Andalucía	MUJERES	2001-02	74,9
Andalucía	MUJERES	2000-01	79,9
Andalucía	MUJERES	1999-00	81,2
Aragón	HOMBRES	2022-23	75,7
Aragón	HOMBRES	2021-22	73,5
Aragón	HOMBRES	2020-21	75,7
Aragón	HOMBRES	2019-20	81,0
Aragón	HOMBRES	2018-19	71,3
Aragón	HOMBRES	2017-18	70,6
Aragón	HOMBRES	2016-17	70,9
Aragón	HOMBRES	2015-16	71,6
Aragón	HOMBRES	2014-15	70,7
Aragón	HOMBRES	2013-14 (2)	71,4
Aragón	HOMBRES	2012-13	72,8
Aragón	HOMBRES	2011-12	67,6
Aragón	HOMBRES	2010-11	70,4
Aragón	HOMBRES	2009-10	66,9
Aragón	HOMBRES	2008-09	65,9
Aragón	HOMBRES	2007-08	64,8
Aragón	HOMBRES	2006-07	67,2
Aragón	HOMBRES	2005-06	65,2
Aragón	HOMBRES	2004-05	64,4
Aragón	HOMBRES	2003-04	65,2
Aragón	HOMBRES	2002-03	69,3
Aragón	HOMBRES	2001-02	68,6
Aragón	HOMBRES	2000-01	69,1
Aragón	HOMBRES	1999-00	69,0
Aragón	MUJERES	2022-23	82,8
Aragón	MUJERES	2021-22	82,8
Aragón	MUJERES	2020-21	86,9
Aragón	MUJERES	2019-20	87,8
Aragón	MUJERES	2018-19	82,9
Aragón	MUJERES	2017-18	79,5
Aragón	MUJERES	2016-17	82,4
Aragón	MUJERES	2015-16	83,1
Aragón	MUJERES	2014-15	77,8
Aragón	MUJERES	2013-14 (2)	80,2
Aragón	MUJERES	2012-13	80,7
Aragón	MUJERES	2011-12	79,0
Aragón	MUJERES	2010-11	81,2
Aragón	MUJERES	2009-10	78,8
Aragón	MUJERES	2008-09	79,8
Aragón	MUJERES	2007-08	76,2
Aragón	MUJERES	2006-07	78,2
Aragón	MUJERES	2005-06	78,1
Aragón	MUJERES	2004-05	81,3
Aragón	MUJERES	2003-04	77,2
Aragón	MUJERES	2002-03	83,7
Aragón	MUJERES	2001-02	83,1
Aragón	MUJERES	2000-01	82,2
Aragón	MUJERES	1999-00	82,3
Asturias, Principado de	HOMBRES	2022-23	83,2
Asturias, Principado de	HOMBRES	2021-22	85,5
Asturias, Principado de	HOMBRES	2020-21	83,8
Asturias, Principado de	HOMBRES	2019-20	88,6
Asturias, Principado de	HOMBRES	2018-19	80,9
Asturias, Principado de	HOMBRES	2017-18	80,2
Asturias, Principado de	HOMBRES	2016-17	76,7
Asturias, Principado de	HOMBRES	2015-16	85,9
Asturias, Principado de	HOMBRES	2014-15	82,1
Asturias, Principado de	HOMBRES	2013-14 (2)	83,2
Asturias, Principado de	HOMBRES	2012-13	80,4
Asturias, Principado de	HOMBRES	2011-12	80,5
Asturias, Principado de	HOMBRES	2010-11	81,5
Asturias, Principado de	HOMBRES	2009-10	81,9
Asturias, Principado de	HOMBRES	2008-09	84,1
Asturias, Principado de	HOMBRES	2007-08	81,2
Asturias, Principado de	HOMBRES	2006-07	77,0
Asturias, Principado de	HOMBRES	2005-06	78,4
Asturias, Principado de	HOMBRES	2004-05	83,3
Asturias, Principado de	HOMBRES	2003-04	76,2
Asturias, Principado de	HOMBRES	2002-03	80,5
Asturias, Principado de	HOMBRES	2001-02	77,4
Asturias, Principado de	HOMBRES	2000-01	78,0
Asturias, Principado de	HOMBRES	1999-00	75,0
Asturias, Principado de	MUJERES	2022-23	87,9
Asturias, Principado de	MUJERES	2021-22	89,2
Asturias, Principado de	MUJERES	2020-21	91,3
Asturias, Principado de	MUJERES	2019-20	91,7
Asturias, Principado de	MUJERES	2018-19	88,6
Asturias, Principado de	MUJERES	2017-18	86,5
Asturias, Principado de	MUJERES	2016-17	84,2
Asturias, Principado de	MUJERES	2015-16	90,2
Asturias, Principado de	MUJERES	2014-15	91,2
Asturias, Principado de	MUJERES	2013-14 (2)	90,4
Asturias, Principado de	MUJERES	2012-13	87,0
Asturias, Principado de	MUJERES	2011-12	88,1
Asturias, Principado de	MUJERES	2010-11	89,5
Asturias, Principado de	MUJERES	2009-10	91,9
Asturias, Principado de	MUJERES	2008-09	93,1
Asturias, Principado de	MUJERES	2007-08	86,1
Asturias, Principado de	MUJERES	2006-07	85,8
Asturias, Principado de	MUJERES	2005-06	91,2
Asturias, Principado de	MUJERES	2004-05	90,6
Asturias, Principado de	MUJERES	2003-04	87,3
Asturias, Principado de	MUJERES	2002-03	91,0
Asturias, Principado de	MUJERES	2001-02	86,9
Asturias, Principado de	MUJERES	2000-01	90,7
