Comunidad autónoma	Sexo	periodo	Total
Andalucía	HOMBRES	2021-22	25,3
Andalucía	HOMBRES	2020-21	26,8
Andalucía	HOMBRES	2019-20	20,4
Andalucía	HOMBRES	2018-19	21,5
Andalucía	HOMBRES	2017-18	21,6
Andalucía	HOMBRES	2016-17	21,6
Andalucía	MUJERES	2021-22	24,7
Andalucía	MUJERES	2020-21	26,4
Andalucía	MUJERES	2019-20	20,6
Andalucía	MUJERES	2018-19	20,7
Andalucía	MUJERES	2017-18	19,9
Andalucía	MUJERES	2016-17	20,8
Aragón	HOMBRES	2021-22	28,6
Aragón	HOMBRES	2020-21	29,8
Aragón	HOMBRES	2019-20	23,9
Aragón	HOMBRES	2018-19	24,5
Aragón	HOMBRES	2017-18	28,6
Aragón	HOMBRES	2016-17	27,1
Aragón	MUJERES	2021-22	21,0
Aragón	MUJERES	2020-21	25,4
Aragón	MUJERES	2019-20	19,5
Aragón	MUJERES	2018-19	18,7
Aragón	MUJERES	2017-18	19,6
Aragón	MUJERES	2016-17	18,8
Asturias, Principado de	HOMBRES	2021-22	23,2
Asturias, Principado de	HOMBRES	2020-21	26,8
Asturias, Principado de	HOMBRES	2019-20	21,0
Asturias, Principado de	HOMBRES	2018-19	23,0
Asturias, Principado de	HOMBRES	2017-18	23,8
Asturias, Principado de	HOMBRES	2016-17	23,9
Asturias, Principado de	MUJERES	2021-22	23,7
Asturias, Principado de	MUJERES	2020-21	27,2
Asturias, Principado de	MUJERES	2019-20	20,7
Asturias, Principado de	MUJERES	2018-19	22,3
Asturias, Principado de	MUJERES	2017-18	21,0
Asturias, Principado de	MUJERES	2016-17	22,4
Balears, Illes	HOMBRES	2021-22	22,6
Balears, Illes	HOMBRES	2020-21	27,3
Balears, Illes	HOMBRES	2019-20	20,4
Balears, Illes	HOMBRES	2018-19	20,8
Balears, Illes	HOMBRES	2017-18	20,4
Balears, Illes	HOMBRES	2016-17	19,5
Balears, Illes	MUJERES	2021-22	23,2
Balears, Illes	MUJERES	2020-21	24,4
Balears, Illes	MUJERES	2019-20	18,4
Balears, Illes	MUJERES	2018-19	17,7
Balears, Illes	MUJERES	2017-18	18,3
Balears, Illes	MUJERES	2016-17	17,2
Canarias	HOMBRES	2021-22	20,8
Canarias	HOMBRES	2020-21	25,1
Canarias	HOMBRES	2019-20	19,1
Canarias	HOMBRES	2018-19	21,8
Canarias	HOMBRES	2017-18	23,5
Canarias	HOMBRES	2016-17	22,2
Canarias	MUJERES	2021-22	20,3
Canarias	MUJERES	2020-21	22,3
Canarias	MUJERES	2019-20	19,1
Canarias	MUJERES	2018-19	18,9
Canarias	MUJERES	2017-18	20,1
Canarias	MUJERES	2016-17	20,0
Cantabria	HOMBRES	2021-22	31,5
Cantabria	HOMBRES	2020-21	33,1
Cantabria	HOMBRES	2019-20	26,8
Cantabria	HOMBRES	2018-19	27,8
Cantabria	HOMBRES	2017-18	25,3
Cantabria	HOMBRES	2016-17	30,1
Cantabria	MUJERES	2021-22	30,2
Cantabria	MUJERES	2020-21	30,2
Cantabria	MUJERES	2019-20	23,8
Cantabria	MUJERES	2018-19	26,8
Cantabria	MUJERES	2017-18	26,5
Cantabria	MUJERES	2016-17	25,7
Castilla y León	HOMBRES	2021-22	24,8
Castilla y León	HOMBRES	2020-21	29,3
Castilla y León	HOMBRES	2019-20	20,4
Castilla y León	HOMBRES	2018-19	21,9
Castilla y León	HOMBRES	2017-18	21,5
Castilla y León	HOMBRES	2016-17	22,1
Castilla y León	MUJERES	2021-22	20,6
Castilla y León	MUJERES	2020-21	23,6
Castilla y León	MUJERES	2019-20	17,4
Castilla y León	MUJERES	2018-19	20,0
Castilla y León	MUJERES	2017-18	19,2
Castilla y León	MUJERES	2016-17	19,8
Castilla-La Mancha	HOMBRES	2021-22	22,7
Castilla-La Mancha	HOMBRES	2020-21	25,1
Castilla-La Mancha	HOMBRES	2019-20	19,8
Castilla-La Mancha	HOMBRES	2018-19	20,5
Castilla-La Mancha	HOMBRES	2017-18	20,8
Castilla-La Mancha	HOMBRES	2016-17	21,4
Castilla-La Mancha	MUJERES	2021-22	21,9
Castilla-La Mancha	MUJERES	2020-21	25,2
Castilla-La Mancha	MUJERES	2019-20	19,0
Castilla-La Mancha	MUJERES	2018-19	18,9
Castilla-La Mancha	MUJERES	2017-18	19,9
Castilla-La Mancha	MUJERES	2016-17	20,2
Cataluña	HOMBRES	2021-22	28,2
Cataluña	HOMBRES	2020-21	29,7
Cataluña	HOMBRES	2019-20	30,7
Cataluña	HOMBRES	2018-19	27,4
Cataluña	HOMBRES	2017-18	25,4
