Comunidad autónoma	Sexo	periodo	Total
Andalucía	HOMBRES	2021-22	29,9
Andalucía	HOMBRES	2020-21	32,3
Andalucía	HOMBRES	2019-20	21,9
Andalucía	HOMBRES	2018-19	24,3
Andalucía	HOMBRES	2017-18	22,0
Andalucía	HOMBRES	2016-17	19,8
Andalucía	MUJERES	2021-22	37,8
Andalucía	MUJERES	2020-21	39,9
Andalucía	MUJERES	2019-20	28,9
Andalucía	MUJERES	2018-19	30,2
Andalucía	MUJERES	2017-18	27,8
Andalucía	MUJERES	2016-17	24,3
Aragón	HOMBRES	2021-22	30,6
Aragón	HOMBRES	2020-21	34,9
Aragón	HOMBRES	2019-20	24,6
Aragón	HOMBRES	2018-19	28,9
Aragón	HOMBRES	2017-18	28,7
Aragón	HOMBRES	2016-17	26,1
Aragón	MUJERES	2021-22	26,8
Aragón	MUJERES	2020-21	29,7
Aragón	MUJERES	2019-20	19,3
Aragón	MUJERES	2018-19	23,5
Aragón	MUJERES	2017-18	24,9
Aragón	MUJERES	2016-17	23,0
Asturias, Principado de	HOMBRES	2021-22	35,5
Asturias, Principado de	HOMBRES	2020-21	43,4
Asturias, Principado de	HOMBRES	2019-20	26,6
Asturias, Principado de	HOMBRES	2018-19	30,5
Asturias, Principado de	HOMBRES	2017-18	30,4
Asturias, Principado de	HOMBRES	2016-17	27,8
Asturias, Principado de	MUJERES	2021-22	33,0
Asturias, Principado de	MUJERES	2020-21	41,1
Asturias, Principado de	MUJERES	2019-20	27,4
Asturias, Principado de	MUJERES	2018-19	30,1
Asturias, Principado de	MUJERES	2017-18	27,8
Asturias, Principado de	MUJERES	2016-17	27,0
Balears, Illes	HOMBRES	2021-22	17,6
Balears, Illes	HOMBRES	2020-21	19,9
Balears, Illes	HOMBRES	2019-20	12,1
Balears, Illes	HOMBRES	2018-19	14,3
Balears, Illes	HOMBRES	2017-18	12,9
Balears, Illes	HOMBRES	2016-17	11,1
Balears, Illes	MUJERES	2021-22	20,3
Balears, Illes	MUJERES	2020-21	19,1
Balears, Illes	MUJERES	2019-20	15,4
Balears, Illes	MUJERES	2018-19	15,4
Balears, Illes	MUJERES	2017-18	14,1
Balears, Illes	MUJERES	2016-17	11,4
Canarias	HOMBRES	2021-22	28,5
Canarias	HOMBRES	2020-21	31,9
Canarias	HOMBRES	2019-20	25,3
Canarias	HOMBRES	2018-19	25,1
Canarias	HOMBRES	2017-18	25,5
Canarias	HOMBRES	2016-17	24,3
Canarias	MUJERES	2021-22	34,9
Canarias	MUJERES	2020-21	37,6
Canarias	MUJERES	2019-20	30,8
Canarias	MUJERES	2018-19	30,3
Canarias	MUJERES	2017-18	30,9
Canarias	MUJERES	2016-17	28,8
Cantabria	HOMBRES	2021-22	34,6
Cantabria	HOMBRES	2020-21	37,7
Cantabria	HOMBRES	2019-20	29,4
Cantabria	HOMBRES	2018-19	32,5
Cantabria	HOMBRES	2017-18	32,5
Cantabria	HOMBRES	2016-17	29,0
Cantabria	MUJERES	2021-22	37,2
Cantabria	MUJERES	2020-21	40,1
Cantabria	MUJERES	2019-20	34,6
Cantabria	MUJERES	2018-19	38,7
Cantabria	MUJERES	2017-18	33,9
Cantabria	MUJERES	2016-17	28,8
Castilla y León	HOMBRES	2021-22	30,6
Castilla y León	HOMBRES	2020-21	35,5
Castilla y León	HOMBRES	2019-20	23,1
Castilla y León	HOMBRES	2018-19	29,4
Castilla y León	HOMBRES	2017-18	27,2
Castilla y León	HOMBRES	2016-17	25,5
Castilla y León	MUJERES	2021-22	25,9
Castilla y León	MUJERES	2020-21	32,8
Castilla y León	MUJERES	2019-20	21,6
Castilla y León	MUJERES	2018-19	24,6
Castilla y León	MUJERES	2017-18	25,0
Castilla y León	MUJERES	2016-17	22,7
Castilla-La Mancha	HOMBRES	2021-22	24,1
Castilla-La Mancha	HOMBRES	2020-21	27,3
Castilla-La Mancha	HOMBRES	2019-20	19,4
Castilla-La Mancha	HOMBRES	2018-19	20,3
Castilla-La Mancha	HOMBRES	2017-18	21,4
Castilla-La Mancha	HOMBRES	2016-17	20,2
Castilla-La Mancha	MUJERES	2021-22	27,0
