Comunidad autónoma	Sexo	periodo	Total
Andalucía	HOMBRES	2021-22	74,8
Andalucía	HOMBRES	2020-21	76,2
Andalucía	HOMBRES	2019-20	77,0
Andalucía	HOMBRES	2018-19	71,7
Andalucía	HOMBRES	2017-18	69,7
Andalucía	HOMBRES	2016-17	68,1
Andalucía	MUJERES	2021-22	83,8
Andalucía	MUJERES	2020-21	85,0
Andalucía	MUJERES	2019-20	82,0
Andalucía	MUJERES	2018-19	82,6
Andalucía	MUJERES	2017-18	81,6
Andalucía	MUJERES	2016-17	80,6
Aragón	HOMBRES	2021-22	73,1
Aragón	HOMBRES	2020-21	75,1
Aragón	HOMBRES	2019-20	80,9
Aragón	HOMBRES	2018-19	71,4
Aragón	HOMBRES	2017-18	70,5
Aragón	HOMBRES	2016-17	71,0
Aragón	MUJERES	2021-22	81,5
Aragón	MUJERES	2020-21	85,7
Aragón	MUJERES	2019-20	84,6
Aragón	MUJERES	2018-19	82,9
Aragón	MUJERES	2017-18	79,2
Aragón	MUJERES	2016-17	83,3
Asturias, Principado de	HOMBRES	2021-22	85,6
Asturias, Principado de	HOMBRES	2020-21	83,7
Asturias, Principado de	HOMBRES	2019-20	89,3
Asturias, Principado de	HOMBRES	2018-19	80,2
Asturias, Principado de	HOMBRES	2017-18	79,3
Asturias, Principado de	HOMBRES	2016-17	76,9
Asturias, Principado de	MUJERES	2021-22	88,7
Asturias, Principado de	MUJERES	2020-21	92,3
Asturias, Principado de	MUJERES	2019-20	85,1
Asturias, Principado de	MUJERES	2018-19	89,4
Asturias, Principado de	MUJERES	2017-18	86,7
Asturias, Principado de	MUJERES	2016-17	84,1
Balears, Illes	HOMBRES	2021-22	72,6
Balears, Illes	HOMBRES	2020-21	76,7
Balears, Illes	HOMBRES	2019-20	76,5
Balears, Illes	HOMBRES	2018-19	69,1
Balears, Illes	HOMBRES	2017-18	63,4
Balears, Illes	HOMBRES	2016-17	65,1
Balears, Illes	MUJERES	2021-22	84,5
