Comunidad autónoma	Sexo	periodo	Total
Andalucía	HOMBRES	2021-22	47,3
Andalucía	HOMBRES	2020-21	45,4
Andalucía	HOMBRES	2019-20	51,9
Andalucía	HOMBRES	2018-19	45,8
Andalucía	HOMBRES	2017-18	46,8
Andalucía	HOMBRES	2016-17	47,0
Andalucía	MUJERES	2021-22	61,0
Andalucía	MUJERES	2020-21	60,1
Andalucía	MUJERES	2019-20	63,3
Andalucía	MUJERES	2018-19	60,9
Andalucía	MUJERES	2017-18	61,2
Andalucía	MUJERES	2016-17	62,5
Aragón	HOMBRES	2021-22	48,7
Aragón	HOMBRES	2020-21	47,0
Aragón	HOMBRES	2019-20	57,5
Aragón	HOMBRES	2018-19	50,1
Aragón	HOMBRES	2017-18	54,5
Aragón	HOMBRES	2016-17	50,7
Aragón	MUJERES	2021-22	65,2
Aragón	MUJERES	2020-21	62,8
Aragón	MUJERES	2019-20	65,6
Aragón	MUJERES	2018-19	67,4
Aragón	MUJERES	2017-18	69,4
Aragón	MUJERES	2016-17	66,2
Asturias, Principado de	HOMBRES	2021-22	57,5
Asturias, Principado de	HOMBRES	2020-21	57,1
Asturias, Principado de	HOMBRES	2019-20	65,6
Asturias, Principado de	HOMBRES	2018-19	60,4
Asturias, Principado de	HOMBRES	2017-18	58,2
Asturias, Principado de	HOMBRES	2016-17	55,9
Asturias, Principado de	MUJERES	2021-22	66,9
Asturias, Principado de	MUJERES	2020-21	72,1
Asturias, Principado de	MUJERES	2019-20	72,9
Asturias, Principado de	MUJERES	2018-19	69,8
Asturias, Principado de	MUJERES	2017-18	71,8
Asturias, Principado de	MUJERES	2016-17	71,7
Balears, Illes	HOMBRES	2021-22	35,6
Balears, Illes	HOMBRES	2020-21	36,2
Balears, Illes	HOMBRES	2019-20	37,4
Balears, Illes	HOMBRES	2018-19	33,1
Balears, Illes	HOMBRES	2017-18	33,9
Balears, Illes	HOMBRES	2016-17	33,4
Balears, Illes	MUJERES	2021-22	50,2
Balears, Illes	MUJERES	2020-21	52,2
Balears, Illes	MUJERES	2019-20	52,6
Balears, Illes	MUJERES	2018-19	50,0
Balears, Illes	MUJERES	2017-18	48,5
Balears, Illes	MUJERES	2016-17	49,4
Canarias	HOMBRES	2021-22	50,9
Canarias	HOMBRES	2020-21	54,1
Canarias	HOMBRES	2019-20	57,8
Canarias	HOMBRES	2018-19	50,9
Canarias	HOMBRES	2017-18	50,6
Canarias	HOMBRES	2016-17	49,6
Canarias	MUJERES	2021-22	67,4
Canarias	MUJERES	2020-21	69,1
Canarias	MUJERES	2019-20	68,2
Canarias	MUJERES	2018-19	65,0
Canarias	MUJERES	2017-18	66,9
Canarias	MUJERES	2016-17	66,0
Cantabria	HOMBRES	2021-22	50,2
Cantabria	HOMBRES	2020-21	51,9
Cantabria	HOMBRES	2019-20	54,6
Cantabria	HOMBRES	2018-19	49,1
Cantabria	HOMBRES	2017-18	55,0
Cantabria	HOMBRES	2016-17	51,2
Cantabria	MUJERES	2021-22	69,7
Cantabria	MUJERES	2020-21	66,5
Cantabria	MUJERES	2019-20	70,0
Cantabria	MUJERES	2018-19	61,9
Cantabria	MUJERES	2017-18	69,5
Cantabria	MUJERES	2016-17	66,9
Castilla y León	HOMBRES	2021-22	49,7
Castilla y León	HOMBRES	2020-21	52,5
Castilla y León	HOMBRES	2019-20	60,2
Castilla y León	HOMBRES	2018-19	51,7
Castilla y León	HOMBRES	2017-18	53,9
Castilla y León	HOMBRES	2016-17	53,2
Castilla y León	MUJERES	2021-22	66,1
Castilla y León	MUJERES	2020-21	69,3
Castilla y León	MUJERES	2019-20	70,0
Castilla y León	MUJERES	2018-19	66,6
Castilla y León	MUJERES	2017-18	69,8
Castilla y León	MUJERES	2016-17	68,5
